Total,Orthogroup,Cnat_Orthofinder_input,Mcav_coral_only_denovo,Ofav_coral_only_denovo,Past_longest_proteome,Ssid_longest_proteome
25,OG0000256,2,6,5,9,3
25,OG0000257,6,6,6,4,3
25,OG0000259,2,9,2,5,7
25,OG0000260,1,6,6,10,2
24,OG0000263,4,8,1,10,1
24,OG0000264,14,2,2,4,2
24,OG0000266,6,10,3,3,2
24,OG0000267,3,11,1,5,4
24,OG0000268,8,5,2,8,1
24,OG0000271,3,6,6,5,4
24,OG0000272,4,4,8,3,5
24,OG0000276,5,6,3,5,5
24,OG0000279,4,6,1,11,2
24,OG0000280,1,12,2,8,1
24,OG0000281,10,5,3,3,3
24,OG0000284,12,2,1,7,2
24,OG0000285,7,8,1,3,5
24,OG0000286,4,6,7,4,3
24,OG0000288,3,5,5,5,6
24,OG0000289,5,7,2,5,5
23,OG0000297,3,6,8,5,1
23,OG0000299,6,3,2,6,6
23,OG0000301,4,5,1,7,6
23,OG0000302,2,8,4,5,4
23,OG0000304,9,4,6,3,1
23,OG0000305,8,7,5,2,1
23,OG0000306,4,6,9,2,2
23,OG0000307,9,2,1,6,5
23,OG0000308,5,9,1,5,3
23,OG0000309,2,7,1,10,3
23,OG0000310,3,8,7,3,2
23,OG0000311,5,7,6,4,1
23,OG0000312,1,6,5,3,8
23,OG0000313,9,6,3,4,1
23,OG0000314,1,6,6,4,6
23,OG0000318,10,5,5,2,1
23,OG0000320,5,3,6,5,4
23,OG0000322,8,5,1,6,3
23,OG0000323,1,9,9,3,1
23,OG0000324,5,6,5,5,2
23,OG0000325,3,8,6,3,3
23,OG0000327,1,6,4,8,4
22,OG0000332,6,4,3,4,5
22,OG0000333,5,4,2,7,4
22,OG0000334,4,7,7,3,1
22,OG0000337,3,6,5,5,3
22,OG0000339,5,7,4,2,4
22,OG0000340,9,4,1,5,3
22,OG0000341,8,3,5,5,1
22,OG0000345,2,7,7,3,3
22,OG0000346,3,8,7,3,1
22,OG0000347,5,5,7,3,2
22,OG0000348,9,7,2,1,3
22,OG0000349,2,4,3,5,8
22,OG0000350,1,6,7,7,1
22,OG0000351,8,3,2,6,3
22,OG0000352,6,4,2,7,3
22,OG0000353,6,7,1,6,2
22,OG0000354,5,6,2,5,4
22,OG0000355,4,6,7,4,1
22,OG0000356,5,2,2,6,7
22,OG0000358,9,6,2,4,1
22,OG0000359,8,4,1,8,1
22,OG0000360,7,5,2,5,3
22,OG0000362,7,9,2,1,3
22,OG0000367,1,7,5,4,5
22,OG0000369,2,10,1,5,4
21,OG0000373,3,6,5,4,3
21,OG0000374,4,7,7,2,1
21,OG0000375,11,2,2,4,2
21,OG0000376,5,8,1,6,1
21,OG0000378,6,4,1,2,8
21,OG0000379,5,6,4,3,3
21,OG0000382,4,5,8,2,2
21,OG0000383,5,4,4,6,2
21,OG0000384,3,4,10,3,1
21,OG0000386,7,2,2,5,5
21,OG0000387,3,7,4,1,6
21,OG0000390,7,3,2,7,2
21,OG0000392,3,1,1,11,5
21,OG0000394,4,7,7,1,2
21,OG0000396,2,5,1,9,4
21,OG0000398,4,4,5,6,2
21,OG0000399,4,6,4,5,2
21,OG0000400,2,12,1,3,3
21,OG0000402,5,5,5,3,3
21,OG0000403,2,5,5,5,4
21,OG0000404,1,8,7,4,1
21,OG0000405,3,4,4,6,4
21,OG0000406,1,8,4,3,5
21,OG0000407,3,1,11,3,3
21,OG0000408,2,6,7,4,2
20,OG0000411,4,4,4,5,3
20,OG0000412,4,5,3,5,3
20,OG0000413,9,4,3,2,2
20,OG0000414,3,4,4,5,4
20,OG0000416,5,4,5,5,1
20,OG0000418,3,4,1,1,11
20,OG0000419,3,7,5,2,3
20,OG0000420,7,9,1,2,1
20,OG0000421,7,3,3,3,4
20,OG0000422,5,7,5,1,2
20,OG0000423,2,2,7,3,6
20,OG0000426,4,5,4,4,3
20,OG0000427,7,2,1,5,5
20,OG0000429,10,3,1,4,2
20,OG0000430,9,5,3,2,1
20,OG0000434,1,7,2,2,8
20,OG0000436,4,6,2,1,7
20,OG0000437,7,3,2,3,5
20,OG0000438,2,6,7,4,1
20,OG0000442,7,3,1,4,5
20,OG0000443,5,5,7,2,1
20,OG0000444,4,7,7,1,1
20,OG0000446,2,2,4,6,6
20,OG0000447,5,5,1,6,3
20,OG0000448,5,8,3,1,3
20,OG0000449,2,6,4,6,2
20,OG0000450,3,5,3,6,3
20,OG0000451,6,5,1,7,1
20,OG0000452,7,3,1,4,5
20,OG0000454,2,4,3,6,5
20,OG0000455,2,4,3,5,6
19,OG0000460,7,3,2,6,1
19,OG0000463,4,5,4,1,5
19,OG0000465,7,8,1,2,1
19,OG0000467,7,6,4,1,1
19,OG0000468,6,3,5,2,3
19,OG0000469,7,3,1,4,4
