Total,Orthogroup,Cnat_Orthofinder_input,Mcav_coral_only_denovo,Ofav_coral_only_denovo,Past_longest_proteome,Ssid_longest_proteome
11,OG0001402,2,4,1,3,1
11,OG0001407,4,2,2,2,1
11,OG0001408,3,1,1,2,4
11,OG0001409,3,2,3,1,2
11,OG0001410,4,2,2,2,1
11,OG0001411,3,3,3,1,1
11,OG0001413,4,2,1,2,2
11,OG0001416,2,3,1,1,4
11,OG0001418,2,1,1,5,2
11,OG0001419,2,2,1,4,2
11,OG0001423,3,1,1,2,4
11,OG0001425,2,3,2,3,1
11,OG0001426,2,1,3,2,3
11,OG0001429,1,2,1,1,6
11,OG0001430,2,2,2,3,2
11,OG0001431,5,2,1,2,1
11,OG0001433,4,1,1,3,2
11,OG0001434,2,3,3,2,1
11,OG0001435,2,2,1,3,3
11,OG0001437,2,2,2,3,2
11,OG0001439,3,1,3,1,3
11,OG0001445,2,4,1,3,1
11,OG0001454,4,3,1,2,1
11,OG0001455,3,2,2,2,2
11,OG0001458,6,2,1,1,1
11,OG0001461,1,3,3,3,1
11,OG0001468,2,3,3,1,2
11,OG0001469,3,3,3,1,1
11,OG0001470,2,2,1,2,4
11,OG0001472,2,2,3,2,2
11,OG0001476,4,2,1,2,2
11,OG0001478,5,2,2,1,1
11,OG0001479,2,4,2,2,1
11,OG0001484,3,3,3,1,1
11,OG0001489,3,2,1,2,3
11,OG0001491,1,5,2,1,2
11,OG0001493,1,1,3,5,1
11,OG0001494,2,4,1,3,1
11,OG0001499,3,3,1,3,1
11,OG0001500,4,2,3,1,1
11,OG0001501,5,2,1,2,1
11,OG0001503,3,2,2,3,1
11,OG0001505,1,1,1,1,7
11,OG0001506,2,4,3,1,1
11,OG0001509,1,4,2,2,2
11,OG0001515,3,2,1,3,2
11,OG0001516,2,3,2,2,2
11,OG0001519,2,2,1,4,2
11,OG0001520,2,4,1,1,3
11,OG0001521,2,3,1,3,2
11,OG0001522,4,1,2,2,2
11,OG0001525,1,4,2,3,1
11,OG0001529,4,2,1,2,2
11,OG0001530,2,6,1,1,1
11,OG0001532,4,4,1,1,1
11,OG0001537,1,2,3,3,2
11,OG0001539,3,2,2,3,1
11,OG0001541,4,2,2,2,1
11,OG0001542,3,2,3,2,1
11,OG0001543,4,2,2,2,1
11,OG0001547,3,3,2,2,1
11,OG0001551,3,2,2,2,2
11,OG0001553,1,4,1,2,3
11,OG0001554,3,2,1,3,2
11,OG0001555,2,2,2,3,2
11,OG0001559,2,2,2,2,3
11,OG0001561,1,3,1,5,1
11,OG0001562,2,4,2,1,2
11,OG0001564,1,2,2,3,3
11,OG0001565,2,4,1,2,2
11,OG0001566,1,3,1,4,2
11,OG0001567,1,1,1,6,2
11,OG0001571,3,1,3,2,2
11,OG0001572,2,3,2,3,1
11,OG0001574,2,2,1,3,3
11,OG0001575,2,2,2,4,1
11,OG0001578,1,1,3,2,4
11,OG0001579,1,1,4,3,2
11,OG0001581,3,2,3,1,2
11,OG0001582,1,1,1,4,4
11,OG0001583,2,3,2,2,2
11,OG0001585,2,1,4,2,2
11,OG0001586,2,3,2,2,2
11,OG0001587,3,2,2,1,3
11,OG0001588,2,2,2,2,3
11,OG0001589,1,2,2,1,5
11,OG0001590,2,2,3,2,2
11,OG0001591,4,2,1,3,1
11,OG0001592,2,2,2,3,2
11,OG0001593,1,4,2,3,1
11,OG0001595,3,2,2,2,2
11,OG0001596,1,3,2,2,3
11,OG0001597,3,3,2,2,1
11,OG0001598,2,2,1,4,2
11,OG0001599,1,3,1,5,1
11,OG0001600,1,2,2,2,4
11,OG0001602,2,4,1,3,1
11,OG0001603,3,3,1,2,2
11,OG0001604,2,2,1,4,2
11,OG0001605,1,1,1,2,6
11,OG0001607,2,3,2,3,1
11,OG0001609,2,3,2,3,1
11,OG0001610,2,2,2,2,3
11,OG0001611,2,3,1,3,2
11,OG0001613,1,3,2,3,2
11,OG0001614,1,3,2,3,2
11,OG0001615,1,3,2,3,2
11,OG0001616,1,3,2,3,2
11,OG0001618,2,3,2,2,2
11,OG0001619,1,3,1,3,3
11,OG0001620,1,5,1,2,2
11,OG0001622,1,2,2,5,1
11,OG0001623,2,3,2,3,1
11,OG0001624,1,5,1,2,2
11,OG0001625,2,2,1,5,1
11,OG0001626,1,4,3,2,1
11,OG0001627,2,3,1,2,3
11,OG0001628,1,3,5,1,1
11,OG0001629,1,6,1,1,2
11,OG0001630,1,2,3,3,2
11,OG0001632,3,3,1,2,2
11,OG0001633,1,3,1,5,1
11,OG0001635,2,2,4,2,1
11,OG0001636,1,3,2,2,3
11,OG0001637,2,1,2,3,3
11,OG0001638,2,3,1,3,2
11,OG0001639,1,1,3,3,3
11,OG0001641,1,6,1,2,1
11,OG0001642,2,3,3,1,2
11,OG0001643,1,3,2,3,2
11,OG0001645,1,1,2,6,1
11,OG0001646,1,3,3,2,2
11,OG0001647,4,2,1,3,1
11,OG0001648,1,3,3,2,2
11,OG0001650,1,2,2,3,3
11,OG0001651,1,3,2,1,4
11,OG0001652,1,1,4,3,2
11,OG0001653,1,4,4,1,1
11,OG0001656,1,4,3,2,1
11,OG0001660,1,4,2,3,1
11,OG0001667,1,3,3,3,1
11,OG0001668,1,4,4,1,1
10,OG0001699,2,2,2,3,1
10,OG0001701,3,2,1,2,2
10,OG0001704,3,2,2,2,1
10,OG0001706,1,3,1,2,3
10,OG0001707,2,1,1,2,4
10,OG0001708,3,2,2,2,1
10,OG0001709,2,1,1,3,3
10,OG0001712,4,1,1,3,1
10,OG0001714,4,3,1,1,1
10,OG0001717,5,1,2,1,1
10,OG0001718,3,3,1,2,1
10,OG0001722,4,2,2,1,1
10,OG0001723,2,2,1,2,3
10,OG0001724,1,3,4,1,1
10,OG0001725,3,2,1,2,2
10,OG0001726,3,2,2,2,1
10,OG0001728,3,1,2,1,3
10,OG0001729,2,3,2,2,1
10,OG0001731,3,3,1,2,1
10,OG0001732,2,1,2,3,2
10,OG0001733,2,2,3,1,2
10,OG0001734,4,2,2,1,1
10,OG0001736,1,3,3,2,1
10,OG0001738,2,4,2,1,1
10,OG0001739,2,3,3,1,1
10,OG0001742,2,1,1,3,3
10,OG0001744,4,2,2,1,1
10,OG0001746,2,2,1,4,1
10,OG0001749,2,2,2,2,2
10,OG0001752,1,1,2,1,5
10,OG0001753,1,4,2,2,1
10,OG0001755,4,2,1,1,2
10,OG0001756,2,2,2,2,2
10,OG0001758,2,1,1,3,3
10,OG0001761,3,2,2,1,2
10,OG0001762,1,1,1,5,2
10,OG0001767,3,1,1,3,2
10,OG0001768,2,1,2,1,4
10,OG0001771,2,2,1,3,2
10,OG0001772,1,3,2,2,2
10,OG0001773,4,2,2,1,1
10,OG0001774,1,1,1,4,3
10,OG0001775,1,3,1,4,1
10,OG0001777,2,1,3,1,3
10,OG0001780,3,1,2,2,2
10,OG0001781,2,2,2,2,2
10,OG0001782,2,3,2,2,1
10,OG0001787,2,3,1,3,1
10,OG0001788,1,1,2,3,3
10,OG0001790,4,2,2,1,1
10,OG0001793,2,2,4,1,1
10,OG0001794,2,3,2,1,2
10,OG0001810,3,2,2,2,1
10,OG0001811,4,3,1,1,1
10,OG0001812,2,3,2,2,1
10,OG0001815,3,3,1,2,1
10,OG0001818,2,4,2,1,1
10,OG0001819,1,4,1,3,1
10,OG0001820,4,2,1,2,1
10,OG0001835,3,2,3,1,1
10,OG0001840,3,4,1,1,1
10,OG0001842,1,3,3,2,1
10,OG0001845,1,3,4,1,1
10,OG0001848,3,1,4,1,1
10,OG0001849,1,3,2,3,1
10,OG0001852,2,1,1,2,4
10,OG0001856,2,3,3,1,1
10,OG0001863,2,3,1,2,2
10,OG0001864,4,1,3,1,1
10,OG0001866,3,1,4,1,1
10,OG0001871,2,1,5,1,1
10,OG0001872,5,1,2,1,1
10,OG0001874,2,2,2,2,2
10,OG0001875,3,1,1,3,2
10,OG0001877,6,1,1,1,1
10,OG0001881,2,3,1,3,1
10,OG0001882,3,2,1,3,1
10,OG0001883,1,1,2,4,2
10,OG0001885,1,3,1,4,1
10,OG0001886,1,2,4,2,1
10,OG0001887,1,3,2,3,1
10,OG0001889,1,3,3,2,1
10,OG0001890,2,1,1,3,3
10,OG0001892,2,3,2,2,1
10,OG0001893,1,3,1,2,3
10,OG0001895,3,1,2,1,3
10,OG0001898,1,2,2,4,1
10,OG0001900,2,3,1,2,2
10,OG0001903,1,3,2,2,2
10,OG0001907,2,2,2,2,2
10,OG0001908,2,5,1,1,1
10,OG0001910,1,1,2,3,3
10,OG0001911,2,1,3,2,2
10,OG0001916,2,2,3,2,1
10,OG0001918,2,4,2,1,1
10,OG0001919,1,5,2,1,1
10,OG0001922,1,2,1,3,3
10,OG0001925,2,3,1,2,2
10,OG0001926,3,2,2,1,2
10,OG0001930,2,2,2,2,2
10,OG0001931,2,2,1,3,2
10,OG0001932,1,3,2,2,2
10,OG0001933,1,2,2,3,2
10,OG0001935,2,3,3,1,1
10,OG0001936,1,4,2,2,1
10,OG0001938,2,3,1,3,1
10,OG0001940,3,3,1,1,2
10,OG0001942,4,3,1,1,1
10,OG0001944,1,3,3,2,1
10,OG0001945,2,2,2,2,2
10,OG0001946,1,3,2,2,2
10,OG0001947,2,3,1,2,2
10,OG0001949,2,4,2,1,1
10,OG0001952,1,2,1,5,1
10,OG0001953,3,2,2,2,1
10,OG0001954,1,2,3,2,2
10,OG0001957,2,3,1,3,1
10,OG0001959,2,1,2,3,2
10,OG0001961,4,1,1,3,1
10,OG0001962,1,2,2,4,1
10,OG0001963,2,3,2,2,1
10,OG0001964,2,3,2,2,1
10,OG0001965,2,3,2,1,2
10,OG0001966,2,2,2,2,2
10,OG0001967,1,1,1,4,3
10,OG0001968,3,2,2,2,1
10,OG0001969,2,1,1,1,5
10,OG0001970,2,3,2,2,1
10,OG0001973,2,2,3,2,1
10,OG0001974,1,2,1,2,4
10,OG0001975,2,3,1,1,3
10,OG0001976,1,2,2,3,2
10,OG0001978,2,3,1,2,2
10,OG0001979,2,3,1,3,1
10,OG0001980,1,2,2,2,3
10,OG0001981,2,3,3,1,1
10,OG0001983,3,3,1,1,2
10,OG0001985,1,2,3,2,2
10,OG0001988,1,2,3,2,2
10,OG0001989,1,3,2,2,2
10,OG0001991,1,2,2,3,2
10,OG0001992,2,2,2,2,2
10,OG0001993,2,2,2,2,2
10,OG0001994,2,1,3,3,1
10,OG0001995,2,2,2,2,2
10,OG0001996,2,2,2,2,2
10,OG0001997,2,3,2,2,1
10,OG0001998,1,3,3,1,2
10,OG0001999,1,3,3,2,1
10,OG0002000,2,2,2,2,2
10,OG0002001,3,1,3,1,2
10,OG0002003,2,1,3,3,1
10,OG0002004,1,3,2,2,2
10,OG0002005,4,2,2,1,1
10,OG0002006,2,1,1,2,4
10,OG0002007,1,1,2,3,3
10,OG0002008,2,1,3,2,2
10,OG0002009,1,3,3,1,2
10,OG0002010,3,1,2,2,2
10,OG0002011,1,2,2,3,2
10,OG0002012,1,2,4,1,2
10,OG0002013,1,3,2,2,2
10,OG0002014,1,1,2,3,3
10,OG0002015,1,2,1,4,2
10,OG0002016,4,1,1,2,2
10,OG0002017,2,2,2,2,2
10,OG0002018,1,2,2,2,3
10,OG0002019,2,1,2,2,3
10,OG0002020,2,2,1,3,2
10,OG0002021,3,2,1,2,2
10,OG0002023,1,2,1,4,2
10,OG0002025,1,2,2,3,2
10,OG0002026,2,2,2,2,2
10,OG0002027,1,1,4,2,2
10,OG0002028,2,2,2,2,2
10,OG0002030,2,2,2,2,2
10,OG0002031,1,2,1,2,4
10,OG0002033,1,3,2,2,2
10,OG0002035,2,2,1,3,2
10,OG0002036,1,2,2,3,2
10,OG0002039,1,4,2,1,2
10,OG0002044,1,3,3,2,1
10,OG0002048,1,2,4,2,1
9,OG0002092,4,1,1,1,2
9,OG0002093,4,1,1,1,2
9,OG0002096,1,2,3,1,2
9,OG0002097,1,3,2,1,2
9,OG0002101,2,3,1,2,1
9,OG0002105,2,1,2,1,3
9,OG0002108,2,3,1,2,1
9,OG0002110,3,1,2,2,1
9,OG0002111,2,2,3,1,1
9,OG0002114,1,2,1,1,4
9,OG0002115,1,3,2,2,1
9,OG0002118,2,2,2,2,1
9,OG0002119,2,2,3,1,1
9,OG0002123,2,1,1,2,3
9,OG0002125,1,3,2,1,2
9,OG0002126,5,1,1,1,1
9,OG0002127,4,2,1,1,1
9,OG0002131,3,2,2,1,1
9,OG0002136,2,3,1,2,1
9,OG0002137,3,2,1,2,1
9,OG0002140,3,1,2,2,1
9,OG0002145,3,1,2,1,2
9,OG0002149,3,3,1,1,1
9,OG0002157,2,2,2,1,2
9,OG0002159,4,2,1,1,1
9,OG0002164,4,1,1,1,2
9,OG0002170,3,2,1,2,1
9,OG0002175,2,3,1,2,1
9,OG0002176,2,1,1,2,3
9,OG0002183,2,2,1,3,1
9,OG0002185,2,1,2,1,3
9,OG0002187,5,1,1,1,1
9,OG0002190,3,1,1,2,2
9,OG0002191,1,2,3,2,1
9,OG0002194,1,3,1,3,1
9,OG0002196,1,2,2,3,1
9,OG0002200,2,2,3,1,1
9,OG0002203,1,1,1,4,2
9,OG0002206,3,2,1,1,2
9,OG0002212,3,1,2,2,1
9,OG0002224,1,1,1,4,2
9,OG0002226,4,1,1,2,1
9,OG0002235,1,1,2,2,3
9,OG0002240,1,1,1,4,2
9,OG0002241,2,1,2,2,2
9,OG0002244,3,1,2,2,1
9,OG0002247,1,3,2,2,1
9,OG0002248,2,2,2,2,1
9,OG0002251,4,1,1,2,1
9,OG0002254,4,1,2,1,1
9,OG0002257,3,2,1,2,1
9,OG0002259,3,2,1,1,2
9,OG0002278,4,1,1,1,2
9,OG0002279,2,2,2,2,1
9,OG0002281,4,1,1,1,2
9,OG0002287,4,2,1,1,1
9,OG0002289,2,2,2,2,1
9,OG0002290,2,3,1,1,2
9,OG0002292,2,2,2,2,1
9,OG0002294,3,1,3,1,1
9,OG0002296,4,2,1,1,1
9,OG0002297,3,1,2,1,2
9,OG0002299,3,2,1,2,1
9,OG0002302,1,3,3,1,1
9,OG0002305,5,1,1,1,1
9,OG0002307,2,2,3,1,1
9,OG0002308,1,2,2,1,3
9,OG0002311,3,1,1,3,1
9,OG0002312,1,3,2,1,2
9,OG0002313,2,3,2,1,1
9,OG0002316,2,1,1,3,2
9,OG0002324,3,2,2,1,1
9,OG0002326,2,1,1,2,3
9,OG0002328,1,4,1,2,1
9,OG0002330,3,2,1,1,2
9,OG0002331,4,1,2,1,1
9,OG0002335,1,1,4,1,2
9,OG0002340,1,2,3,1,2
9,OG0002341,3,2,1,2,1
9,OG0002343,2,1,1,2,3
9,OG0002344,3,2,2,1,1
9,OG0002347,4,1,1,2,1
9,OG0002349,2,2,2,1,2
9,OG0002353,1,1,2,3,2
9,OG0002354,2,1,1,3,2
9,OG0002357,1,2,4,1,1
9,OG0002359,3,2,1,2,1
9,OG0002366,2,3,1,1,2
9,OG0002369,2,2,1,3,1
9,OG0002370,1,2,3,2,1
9,OG0002372,3,1,1,3,1
9,OG0002376,3,1,1,2,2
9,OG0002377,4,2,1,1,1
9,OG0002380,4,2,1,1,1
9,OG0002384,1,2,3,1,2
9,OG0002385,2,3,2,1,1
9,OG0002386,3,1,1,3,1
9,OG0002387,3,3,1,1,1
9,OG0002392,2,2,3,1,1
9,OG0002396,1,5,1,1,1
9,OG0002400,2,1,2,3,1
9,OG0002401,1,2,2,3,1
9,OG0002402,2,2,2,1,2
9,OG0002404,2,2,3,1,1
9,OG0002405,2,1,1,2,3
9,OG0002407,1,2,2,3,1
9,OG0002408,2,1,3,2,1
9,OG0002409,2,3,2,1,1
9,OG0002411,1,2,1,3,2
9,OG0002415,2,2,3,1,1
9,OG0002416,2,4,1,1,1
9,OG0002418,2,3,2,1,1
9,OG0002421,1,2,2,2,2
9,OG0002422,3,2,2,1,1
9,OG0002423,2,3,2,1,1
9,OG0002430,1,1,3,3,1
9,OG0002431,1,3,3,1,1
9,OG0002434,1,3,2,2,1
9,OG0002435,2,2,2,1,2
9,OG0002438,1,2,2,3,1
9,OG0002439,2,1,1,2,3
9,OG0002440,2,1,2,2,2
9,OG0002442,1,1,1,4,2
9,OG0002444,2,2,2,1,2
9,OG0002447,1,3,1,3,1
9,OG0002448,2,1,3,1,2
9,OG0002449,2,2,2,2,1
9,OG0002450,3,1,1,3,1
9,OG0002451,2,3,2,1,1
9,OG0002452,1,1,1,3,3
9,OG0002453,3,1,3,1,1
9,OG0002454,3,1,2,1,2
9,OG0002457,3,2,1,2,1
9,OG0002458,2,2,1,3,1
9,OG0002459,2,3,2,1,1
9,OG0002460,4,2,1,1,1
9,OG0002463,1,1,1,5,1
9,OG0002464,2,3,2,1,1
9,OG0002465,2,2,2,2,1
9,OG0002466,4,1,1,1,2
9,OG0002468,3,1,1,3,1
9,OG0002469,2,1,2,3,1
9,OG0002474,1,3,1,3,1
9,OG0002475,2,2,1,2,2
9,OG0002477,1,3,2,2,1
9,OG0002478,2,2,1,2,2
9,OG0002481,1,2,2,2,2
9,OG0002482,1,1,2,2,3
9,OG0002483,1,3,1,2,2
9,OG0002484,2,2,1,2,2
9,OG0002485,1,2,3,2,1
9,OG0002486,1,1,2,3,2
9,OG0002487,2,2,2,1,2
9,OG0002490,1,2,2,2,2
9,OG0002491,2,1,2,1,3
9,OG0002493,2,2,1,2,2
9,OG0002494,4,1,1,2,1
9,OG0002496,1,2,1,2,3
9,OG0002497,1,3,2,2,1
9,OG0002498,2,3,1,2,1
9,OG0002500,2,2,2,2,1
9,OG0002503,1,2,2,3,1
9,OG0002504,2,1,1,2,3
9,OG0002505,4,1,2,1,1
9,OG0002508,2,2,1,3,1
9,OG0002509,2,2,1,2,2
9,OG0002510,2,3,1,2,1
9,OG0002511,1,3,2,1,2
9,OG0002512,1,2,2,2,2
9,OG0002514,1,2,2,2,2
9,OG0002515,2,2,2,2,1
9,OG0002517,2,1,2,2,2
9,OG0002518,2,2,1,2,2
9,OG0002521,3,1,1,2,2
9,OG0002522,1,1,3,3,1
9,OG0002523,1,4,1,2,1
9,OG0002524,1,2,2,2,2
9,OG0002525,1,2,1,3,2
9,OG0002526,2,1,2,2,2
9,OG0002527,1,2,2,3,1
9,OG0002528,1,3,3,1,1
9,OG0002529,2,2,2,2,1
9,OG0002530,1,2,2,3,1
9,OG0002531,3,2,1,1,2
9,OG0002533,1,2,2,2,2
9,OG0002534,2,1,1,3,2
9,OG0002535,1,2,1,2,3
9,OG0002536,1,2,2,2,2
9,OG0002537,1,3,1,3,1
9,OG0002538,2,1,2,1,3
9,OG0002539,1,1,1,3,3
9,OG0002540,2,1,2,3,1
9,OG0002541,2,1,2,3,1
9,OG0002542,1,3,1,1,3
9,OG0002544,1,2,2,2,2
9,OG0002545,2,1,1,2,3
9,OG0002547,3,3,1,1,1
9,OG0002548,2,1,2,1,3
9,OG0002549,2,2,2,1,2
9,OG0002550,1,2,2,3,1
9,OG0002551,3,1,1,1,3
9,OG0002552,2,2,2,2,1
9,OG0002553,1,2,3,2,1
9,OG0002554,1,2,2,2,2
9,OG0002555,2,1,1,2,3
9,OG0002556,1,1,1,3,3
9,OG0002557,1,2,2,2,2
9,OG0002559,1,1,1,3,3
9,OG0002560,1,1,2,3,2
9,OG0002562,1,1,1,1,5
9,OG0002563,1,1,2,3,2
9,OG0002565,1,3,2,1,2
9,OG0002566,2,2,3,1,1
9,OG0002568,1,1,1,5,1
9,OG0002569,1,3,3,1,1
9,OG0002571,3,3,1,1,1
9,OG0002572,2,2,1,1,3
9,OG0002573,2,1,2,2,2
9,OG0002574,1,1,2,2,3
9,OG0002575,3,1,1,3,1
9,OG0002576,1,1,2,3,2
9,OG0002577,1,2,2,2,2
9,OG0002578,1,1,2,3,2
9,OG0002579,2,3,1,1,2
9,OG0002580,1,3,1,2,2
9,OG0002582,2,2,1,3,1
9,OG0002583,1,1,1,4,2
9,OG0002584,2,2,2,1,2
9,OG0002585,1,3,2,2,1
9,OG0002587,2,1,1,2,3
9,OG0002588,1,2,3,2,1
9,OG0002589,1,1,1,4,2
9,OG0002593,2,2,1,1,3
9,OG0002594,1,4,2,1,1
9,OG0002595,1,5,1,1,1
9,OG0002596,2,1,1,3,2
9,OG0002598,1,2,2,3,1
9,OG0002599,2,2,1,2,2
9,OG0002600,1,1,2,2,3
9,OG0002601,2,1,2,2,2
9,OG0002602,2,1,2,3,1
9,OG0002603,1,2,2,2,2
9,OG0002604,1,2,3,1,2
9,OG0002605,1,2,2,3,1
9,OG0002606,1,3,1,2,2
9,OG0002607,1,5,1,1,1
9,OG0002608,3,2,1,2,1
9,OG0002609,1,2,2,2,2
9,OG0002610,1,1,2,3,2
9,OG0002611,2,1,1,2,3
9,OG0002612,1,1,2,3,2
9,OG0002613,2,1,2,2,2
9,OG0002614,2,2,1,2,2
9,OG0002615,1,1,1,2,4
9,OG0002616,3,2,1,2,1
9,OG0002617,1,1,1,4,2
9,OG0002619,1,3,2,2,1
9,OG0002620,1,2,1,4,1
9,OG0002621,1,3,2,2,1
9,OG0002622,1,1,2,3,2
9,OG0002623,1,1,2,2,3
9,OG0002624,1,1,1,2,4
9,OG0002625,1,1,4,2,1
9,OG0002637,1,3,3,1,1
9,OG0002640,1,3,3,1,1
9,OG0002641,1,2,2,2,2
9,OG0002646,1,2,1,3,2
9,OG0002648,1,2,2,3,1
9,OG0002651,1,3,2,2,1
9,OG0002653,2,2,2,2,1
8,OG0002722,2,2,2,1,1
8,OG0002727,3,1,1,2,1
8,OG0002728,3,1,2,1,1
8,OG0002730,3,1,2,1,1
8,OG0002736,4,1,1,1,1
8,OG0002737,3,1,1,2,1
8,OG0002741,1,3,2,1,1
8,OG0002745,2,1,2,2,1
8,OG0002749,3,1,1,2,1
8,OG0002752,2,1,3,1,1
8,OG0002753,2,2,1,2,1
8,OG0002759,1,2,1,2,2
8,OG0002762,1,2,3,1,1
8,OG0002765,3,2,1,1,1
8,OG0002775,2,1,1,3,1
8,OG0002785,3,2,1,1,1
8,OG0002786,2,1,2,1,2
8,OG0002790,3,1,2,1,1
8,OG0002796,2,2,1,2,1
8,OG0002803,2,1,1,1,3
8,OG0002805,2,2,2,1,1
8,OG0002807,2,2,1,2,1
8,OG0002810,1,1,1,4,1
8,OG0002812,2,1,1,2,2
8,OG0002813,2,3,1,1,1
8,OG0002821,1,2,2,2,1
8,OG0002822,2,2,1,1,2
8,OG0002823,1,1,1,3,2
8,OG0002825,4,1,1,1,1
8,OG0002828,2,1,1,1,3
8,OG0002829,2,2,2,1,1
8,OG0002831,2,2,1,1,2
8,OG0002832,1,2,2,2,1
8,OG0002833,1,1,2,2,2
8,OG0002836,2,1,2,2,1
8,OG0002838,1,2,2,2,1
8,OG0002840,1,3,2,1,1
8,OG0002841,2,2,2,1,1
8,OG0002843,3,1,2,1,1
8,OG0002844,1,2,3,1,1
8,OG0002851,1,1,1,3,2
8,OG0002859,2,2,2,1,1
8,OG0002863,2,1,3,1,1
8,OG0002864,1,3,1,2,1
8,OG0002865,4,1,1,1,1
8,OG0002868,3,1,2,1,1
8,OG0002871,2,1,2,1,2
8,OG0002874,2,2,1,2,1
8,OG0002877,3,1,1,1,2
8,OG0002878,1,2,2,2,1
8,OG0002880,1,1,1,4,1
8,OG0002881,3,1,1,2,1
8,OG0002882,2,1,1,2,2
8,OG0002889,1,3,1,2,1
8,OG0002890,3,1,1,2,1
8,OG0002891,2,1,1,2,2
8,OG0002892,1,2,2,1,2
8,OG0002897,2,3,1,1,1
8,OG0002899,2,1,2,1,2
8,OG0002900,2,3,1,1,1
8,OG0002902,3,2,1,1,1
8,OG0002904,2,2,1,2,1
8,OG0002905,3,2,1,1,1
8,OG0002906,3,2,1,1,1
8,OG0002909,3,1,2,1,1
8,OG0002911,2,2,1,1,2
8,OG0002917,3,1,2,1,1
8,OG0002919,3,1,1,1,2
8,OG0002922,2,2,2,1,1
8,OG0002924,3,2,1,1,1
8,OG0002927,1,3,1,2,1
8,OG0002929,1,2,1,3,1
8,OG0002930,1,1,1,3,2
8,OG0002932,3,1,1,2,1
8,OG0002933,2,1,1,2,2
8,OG0002936,2,3,1,1,1
8,OG0002939,2,1,1,2,2
8,OG0002944,2,2,1,2,1
8,OG0002951,2,2,2,1,1
8,OG0002952,3,2,1,1,1
8,OG0002953,1,3,2,1,1
8,OG0002957,1,2,1,3,1
8,OG0002961,2,2,2,1,1
8,OG0002962,3,2,1,1,1
8,OG0002964,3,2,1,1,1
8,OG0002967,1,2,2,2,1
8,OG0002971,3,2,1,1,1
8,OG0002972,2,2,2,1,1
8,OG0002973,1,2,2,2,1
8,OG0002976,1,2,2,1,2
8,OG0002981,2,1,3,1,1
8,OG0002983,2,2,2,1,1
8,OG0002989,2,2,1,1,2
8,OG0002990,4,1,1,1,1
8,OG0002991,1,2,1,2,2
8,OG0002992,3,2,1,1,1
8,OG0002993,2,2,2,1,1
8,OG0002994,2,1,1,3,1
8,OG0002995,2,2,1,1,2
8,OG0002997,3,2,1,1,1
8,OG0002999,2,2,2,1,1
8,OG0003000,1,1,2,2,2
8,OG0003003,3,1,1,1,2
8,OG0003006,1,1,1,2,3
8,OG0003007,1,1,1,2,3
8,OG0003008,2,2,2,1,1
8,OG0003009,2,1,2,1,2
8,OG0003012,1,3,2,1,1
8,OG0003015,1,3,1,1,2
8,OG0003019,2,2,1,2,1
8,OG0003022,1,2,2,1,2
8,OG0003027,1,2,2,1,2
8,OG0003035,1,2,1,2,2
8,OG0003038,2,1,2,1,2
8,OG0003039,2,2,1,1,2
8,OG0003047,3,1,1,1,2
8,OG0003053,3,2,1,1,1
8,OG0003055,2,1,1,2,2
8,OG0003057,2,1,2,1,2
8,OG0003060,1,2,3,1,1
8,OG0003061,1,2,2,2,1
8,OG0003063,3,1,2,1,1
8,OG0003065,2,1,2,2,1
8,OG0003069,2,2,1,2,1
8,OG0003070,2,1,1,3,1
8,OG0003073,3,2,1,1,1
8,OG0003075,2,1,1,2,2
8,OG0003078,3,2,1,1,1
8,OG0003079,2,3,1,1,1
8,OG0003080,2,3,1,1,1
8,OG0003085,2,1,2,2,1
8,OG0003087,1,2,3,1,1
8,OG0003089,2,2,1,1,2
8,OG0003090,1,2,2,2,1
8,OG0003092,2,1,1,2,2
8,OG0003093,3,1,1,2,1
8,OG0003095,1,1,2,2,2
8,OG0003097,3,1,1,2,1
8,OG0003101,2,2,1,2,1
8,OG0003107,1,4,1,1,1
8,OG0003111,3,1,1,2,1
8,OG0003112,2,1,1,2,2
8,OG0003113,2,2,1,2,1
8,OG0003117,1,2,3,1,1
8,OG0003118,2,2,2,1,1
8,OG0003121,1,1,2,3,1
8,OG0003123,1,3,1,2,1
8,OG0003124,1,1,1,2,3
8,OG0003126,2,1,1,2,2
8,OG0003129,1,3,1,2,1
8,OG0003131,1,1,1,2,3
8,OG0003133,2,2,1,2,1
8,OG0003135,3,1,1,1,2
8,OG0003136,2,3,1,1,1
8,OG0003138,3,2,1,1,1
8,OG0003140,1,2,1,3,1
8,OG0003145,1,3,2,1,1
8,OG0003146,1,4,1,1,1
8,OG0003148,2,1,1,2,2
8,OG0003149,1,2,3,1,1
8,OG0003150,1,3,2,1,1
8,OG0003151,1,2,3,1,1
8,OG0003152,1,2,2,1,2
8,OG0003153,2,1,1,2,2
8,OG0003156,3,2,1,1,1
8,OG0003162,2,1,1,2,2
8,OG0003164,1,2,2,2,1
8,OG0003166,2,1,2,2,1
8,OG0003167,1,3,2,1,1
8,OG0003173,2,2,2,1,1
8,OG0003178,2,3,1,1,1
8,OG0003179,2,2,2,1,1
8,OG0003181,1,2,2,2,1
8,OG0003182,1,3,2,1,1
8,OG0003184,3,1,1,2,1
8,OG0003189,3,1,1,2,1
8,OG0003190,2,1,2,1,2
8,OG0003192,1,2,2,2,1
