OG,theta,sigma2,alpha,beta,results
OG0009344,6.046633157,20.39295153,997.4426892,43.67893837,0.023786315
OG0001558,10.86278303,7.134310683,999,11.3452002,0.023790382
OG0003344,7.507214841,0.060073511,52.95895876,99,0.023802877
OG0003369,10.7833077,0.097802062,52.8145714,99,0.023838248
OG0005682,7.200534511,0.040029723,63.27654543,99,0.023853462
OG0000751,7.486947136,2.251388028,57.75097281,99,0.023855699
OG0008559,5.691681276,0.311636934,60.76930855,99,0.02386605
OG0003078,9.705695886,0.138808742,53.69314813,99,0.023902215
OG0008584,7.159682049,0.087356364,18.434258,99,0.023927262
OG0002948,5.124093494,161.8709271,976.3893562,13.17385998,0.023939759
OG0000307,7.805551938,5.637965581,98.65311711,5.656390779,0.023941359
OG0000220,12.30368155,166.0112552,23.39937166,0.029198557,0.023979234
OG0010765,5.905498667,44.08772823,17.63046608,0.029184862,0.023997475
OG0009464,5.699770177,0.342208223,59.27507885,99,0.024017157
OG0006426,5.823579439,4.42826704,145.5218917,7.295463563,0.024020235
OG0009757,8.485056779,0.415110868,999,91.79428909,0.024075225
OG0006076,9.894802545,0.059741548,55.42873574,99,0.02408613
OG0009494,7.625516014,4.175350934,80.16185368,1.419804727,0.024116232
OG0008761,9.834909122,0.091158696,31.91148305,99,0.024120058
OG0004199,4.750753442,0.240437561,11.97561454,99,0.024124528
OG0001482,12.39255911,525.2232802,76.30116642,0.029227283,0.024154839
OG0001681,7.789974367,0.01354703,11.89316736,99,0.024157194
OG0003206,7.048128607,13.5833571,62.297193,1.210868156,0.024173288
OG0010780,8.63029542,92.11952315,888.7881218,14.31391106,0.024253217
OG0002526,7.229475522,1.566968751,70.44239615,7.105540335,0.024272665
OG0007219,7.357370598,0.095046644,44.79833636,99,0.024277391
OG0003023,5.855920266,0.495155194,15.3163805,99,0.024299429
OG0001529,6.960437918,28.40669246,73.48960359,2.441856871,0.02435267
OG0009319,6.124606485,0.086154903,57.01380261,99,0.024407821
OG0002972,5.216005107,0.509914257,15.37712181,99,0.024408553
OG0009298,7.846893806,7.58093125,980.1844978,11.66300684,0.024422131
OG0000661,6.299669651,0.349920166,8.767577894,99,0.024423826
OG0001769,7.478409007,3.233874834,42.17732459,99,0.02444222
OG0005587,7.241002226,66.44723582,999,14.46483636,0.024444234
OG0008716,4.985694763,0.129814489,40.66750765,99,0.024468737
OG0008419,5.262698397,0.459449192,52.35022239,99,0.02450269
OG0000630,6.845916404,0.106352099,11.41448752,99,0.024509903
OG0009826,8.025499505,0.331956117,12.7663541,99,0.024532842
OG0006572,6.516379938,0.008978379,8.659121992,99,0.02456375
OG0003382,8.412726657,0.090963812,64.72199775,99,0.024576238
OG0002550,5.728521717,0.110421072,19.44419251,99,0.024587218
OG0002669,8.84286567,0.066609899,45.79678457,99,0.02459716
OG0009730,9.631970547,6.906807227,55.59749878,1.964911971,0.024652611
OG0008849,6.732352334,0.106076154,21.420953,99,0.024675745
OG0010959,8.894950084,0.030748588,39.62126192,99,0.024720194
OG0010639,8.97503454,0.077354064,65.0387709,99,0.024723492
OG0009066,7.493627251,0.065154033,23.56195557,99,0.024793936
OG0006386,7.312221801,2.329774399,119.2167977,99,0.024846099
OG0001269,6.87872024,0.072894602,10.36144224,99,0.024860419
OG0010205,9.231439797,27.36164572,999,30.71748043,0.024868199
OG0002448,8.999727155,106.4447013,998.4798662,11.5080294,0.024883014
OG0010934,9.073551309,3.024307009,81.31067433,7.650192112,0.024957058
OG0004090,10.59977168,0.033321247,39.270376,99,0.025001907
OG0008995,7.709397994,0.049188663,7.175123568,99,0.025016108
OG0002110,6.132306825,0.804196146,51.70116669,99,0.025022515
OG0009744,4.730882509,0.613024216,49.57517744,99,0.025087903
OG0003196,5.824587747,0.105012738,20.04982729,99,0.025147276
OG0003421,6.240205428,0.268894993,50.56686114,99,0.02515469
OG0008506,7.255109973,8.291544428,793.705363,21.74489072,0.025172242
OG0004759,8.197945771,6.701000121,59.96190897,2.386883318,0.02519864
OG0003500,7.470523841,6.403630988,999,12.85921746,0.025234397
OG0004053,8.919339433,0.034604211,11.00371545,99,0.025306258
OG0002945,6.713829189,21.30978959,6.148857509,0.029582556,0.025335765
OG0009525,7.706963073,19.50736391,999,11.0331319,0.025361472
OG0004978,7.440998498,10.0507244,999,19.98970518,0.025426622
OG0009131,8.49730881,214.345167,73.50029189,0.02968592,0.025459506
OG0008413,5.296044121,15.25638367,71.05402717,3.145619594,0.02546846
OG0010819,5.591103502,12.99168024,144.4366529,3.223401934,0.025522137
OG0004230,3.983420204,0.217372196,8.844267735,99,0.025593847
OG0005778,6.116095213,0.116188959,7.404334107,99,0.025622193
OG0005127,7.560248193,46.5579299,13.29109502,0.029725779,0.025721626
OG0003158,7.508581612,28.30296889,175.3658603,13.22310855,0.025769393
OG0008503,5.894614591,23.37959478,91.93483601,5.692919206,0.025842073
OG0001555,6.955133634,0.03372068,5.560855611,99,0.025947914
OG0009446,8.68393224,20.6031601,72.82232266,1.410084807,0.025954241
OG0007317,7.772187851,6.093320185,45.95792809,7.188022221,0.026124147
OG0007283,6.658396102,289.586207,61.7252305,0.02978261,0.026175301
OG0006664,7.077909108,0.05777909,54.55628389,99,0.026209649
OG0006139,6.018422545,41.53844868,71.17236311,1.869062137,0.026247813
OG0006595,7.800877762,186.7436133,93.86496409,0.029823181,0.026254419
OG0009201,6.680017709,4.617370977,999,23.13487434,0.026324484
OG0010905,7.953159751,9.182014856,244.8836819,6.018285218,0.026410043
OG0008662,7.592008431,4.103425715,55.36597365,1.270567147,0.026578237
OG0001132,6.740526215,16.3387226,79.10069225,4.118625739,0.026612436
OG0006046,6.105005468,11.45420033,75.86626654,2.228728942,0.026619318
OG0006941,7.000405505,16.16236562,71.04665396,3.820621903,0.026660583
OG0000971,7.162295522,41.81620306,67.29824029,1.690594072,0.026705389
OG0004868,7.918122273,17.86529838,7.670419864,0.029963596,0.026710171
OG0001688,7.039804481,17.54470588,83.12415681,1.069579428,0.02674288
OG0005043,8.530212763,79.02825556,81.85549075,0.029962941,0.026793014
OG0011119,9.093855937,8.695157406,78.69936811,2.099876453,0.02686742
OG0004817,7.730988335,5.769334369,70.07302001,2.151937414,0.026867657
OG0000081,6.538100124,654.1844241,69.01020499,0.030069086,0.027085296
OG0003459,6.87178217,34.3618366,69.73114663,1.405948817,0.027092954
OG0008817,5.870102185,683.448283,166.6911593,0.0300833,0.02713164
OG0009517,7.019724499,1.646761102,82.33463514,5.827389466,0.027137025
OG0005370,3.861290791,92.25679883,189.4602581,6.855241737,0.027143979
OG0008664,4.961381495,395.3272479,75.81636412,0.030089561,0.02715809
OG0003228,8.986853337,16.30376647,68.14660466,1.775971252,0.027335534
OG0005459,9.018746201,5.090171352,71.81183231,2.523804097,0.027365678
OG0006890,5.37098816,1.698339538,69.47567633,40.29259099,0.027416772
OG0004739,6.697447803,2.435225822,73.76597271,6.960392246,0.027450383
OG0009386,7.765229635,2.642581368,999,96.75423101,0.02749488
OG0008986,4.902447621,0.066111329,8.698685045,99,0.027586936
OG0008450,5.183125255,1.293998639,36.74293514,12.52590987,0.02768602
OG0009171,9.417121282,2.037959187,71.48004046,5.924261522,0.027880797
OG0008570,8.804499208,3.865077551,64.43516303,1.76814601,0.027987649
OG0004050,3.164366019,53.50053343,69.63465456,2.199645022,0.028050381
OG0008561,3.959934647,10.04285324,62.26745594,8.447997486,0.02811087
