OG,Cnat_Orthofinder_input,Mcav_coral_only_denovo,Ofav_coral_only_denovo,Past_longest_proteome,Ssid_longest_proteome,Total
OG0009185,1,1,1,1,1,5
OG0009188,1,1,1,1,1,5
OG0009192,1,1,1,1,1,5
OG0009194,1,1,1,1,1,5
OG0009195,1,1,1,1,1,5
OG0009200,1,1,1,1,1,5
OG0009202,1,1,1,1,1,5
OG0009204,1,1,1,1,1,5
OG0009205,1,1,1,1,1,5
OG0009218,1,1,1,1,1,5
OG0009224,1,1,1,1,1,5
OG0009225,1,1,1,1,1,5
OG0009227,1,1,1,1,1,5
OG0009235,1,1,1,1,1,5
OG0009239,1,1,1,1,1,5
OG0009243,1,1,1,1,1,5
OG0009248,1,1,1,1,1,5
OG0009249,1,1,1,1,1,5
OG0009251,1,1,1,1,1,5
OG0009252,1,1,1,1,1,5
OG0009253,1,1,1,1,1,5
OG0009254,1,1,1,1,1,5
OG0009255,1,1,1,1,1,5
OG0009256,1,1,1,1,1,5
OG0009258,1,1,1,1,1,5
OG0009261,1,1,1,1,1,5
OG0009263,1,1,1,1,1,5
OG0009265,1,1,1,1,1,5
OG0009267,1,1,1,1,1,5
OG0009268,1,1,1,1,1,5
OG0009269,1,1,1,1,1,5
OG0009274,1,1,1,1,1,5
OG0009279,1,1,1,1,1,5
OG0009281,1,1,1,1,1,5
OG0009282,1,1,1,1,1,5
OG0009283,1,1,1,1,1,5
OG0009291,1,1,1,1,1,5
OG0009293,1,1,1,1,1,5
OG0009295,1,1,1,1,1,5
OG0009297,1,1,1,1,1,5
OG0009302,1,1,1,1,1,5
OG0009303,1,1,1,1,1,5
OG0009307,1,1,1,1,1,5
OG0009309,1,1,1,1,1,5
OG0009311,1,1,1,1,1,5
OG0009313,1,1,1,1,1,5
OG0009314,1,1,1,1,1,5
OG0009315,1,1,1,1,1,5
OG0009316,1,1,1,1,1,5
OG0009320,1,1,1,1,1,5
OG0009323,1,1,1,1,1,5
OG0009325,1,1,1,1,1,5
OG0009328,1,1,1,1,1,5
OG0009331,1,1,1,1,1,5
OG0009332,1,1,1,1,1,5
OG0009333,1,1,1,1,1,5
OG0009339,1,1,1,1,1,5
OG0009340,1,1,1,1,1,5
OG0009341,1,1,1,1,1,5
OG0009342,1,1,1,1,1,5
OG0009343,1,1,1,1,1,5
OG0009344,1,1,1,1,1,5
OG0009346,1,1,1,1,1,5
OG0009349,1,1,1,1,1,5
OG0009351,1,1,1,1,1,5
OG0009356,1,1,1,1,1,5
OG0009357,1,1,1,1,1,5
OG0009359,1,1,1,1,1,5
OG0009361,1,1,1,1,1,5
OG0009363,1,1,1,1,1,5
OG0009365,1,1,1,1,1,5
OG0009366,1,1,1,1,1,5
OG0009369,1,1,1,1,1,5
OG0009370,1,1,1,1,1,5
OG0009375,1,1,1,1,1,5
