OG,Cnat_1,Cnat_2,Cnat_3,Cnat_4,Cnat_5
OG0007130,121,86,95,103,15
OG0007131,36,26,24,42,9
OG0007132,487.202,131.814,210.163,185.479,56.991
OG0007133,5426.995,3249.005,5418.04,4536.096,1524
OG0007134,509.382,203.441,440.675,310.87,70.643
OG0007135,10,3,8,3,1
OG0007136,0,0,0,0,8
OG0007137,451,508,449,171,376
OG0007138,5720.946,4528.643,4579.867,4681.344,1404
OG0007140,20,2,13,7,3
OG0007141,151,139.001,158,130,43
OG0007142,97,119,115,146,86
OG0007143,94,80,107,53,51
OG0007144,273,288,299,220,363
OG0007145,596,368,605.049,499,211
OG0007146,148,87,155,130,109
OG0007147,66,210,100,72,185
OG0007148,124,113,123,143,82
OG0007149,116,212,187.041,95,76
OG0007150,54,41,30,17,11
OG0007152,621,509.002,628,455,332
OG0007153,1912,1376.986,1713.999,1354,849
OG0007154,747,561,940,659,515
OG0007155,355,400,285,278,133
OG0007156,41,33,32,26,12
OG0007158,11,13,4,12,3
OG0007159,69.002,22.995,80.231,19,17.012
OG0007160,300,143,187,146,51
OG0007162,88,91,70,110,27
OG0007163,41,17,32,15,7
OG0007164,644,1320,740,482,321
OG0007165,1060.205,554,1005,737,648.114
OG0007166,571.754,483,469.01,413,482
OG0007167,369.912,323.03,361,217.842,145
OG0007168,126,103,137,135,79
OG0007169,29,21,25,17,14
OG0007170,456,327,295,259,169
OG0007171,178,222,305.116,214,147
OG0007173,286,178,267,602,68
OG0007174,128,182.981,152,94,59.005
OG0007175,492,372,441,259,235
OG0007176,8,7,5,1,4
OG0007177,110,58,114,122,42
OG0007178,43,81,72,51,46
OG0007179,45,51,26,24,56
OG0007180,161,122,182,108,96
OG0007181,595.016,412.228,682.241,296.493,105.996
OG0007182,12,10,7,5,5
OG0007183,1147.96,157,757.895,343,23
OG0007184,1276.006,640.047,2202.001,1980.317,671
OG0007186,5545.36,3028,2545.406,4756.986,2900
OG0007187,22,33,17,7,14
OG0007188,25,13,50,16,2
OG0007189,0,7,0,0,17
OG0007190,0,0,18,1,0
OG0007191,0,1,0,0,7
OG0007192,0,8,0,0,12
OG0007193,0,10.495,0,0,19.607
OG0007194,0,6,0,0,14
OG0007195,0,0,0,0,15
OG0007196,0,6.024,0,0,16
OG0007197,1,0,0,1,26.111
OG0007198,0,6,0,0,4
OG0007199,2,0,45,4,1
OG0007200,0,2,1,0,4
OG0007201,14,1,3,5,4
OG0007202,0,0,17,1,0
OG0007203,0,0,0,0,29
OG0007204,0,3,0,1,6
OG0007205,1,0,0,0,10
OG0007206,1,1,0,0,16.015
OG0007207,0,0,1,0,13.999
OG0007208,0,4,0,0,14
OG0007209,0,0,4,1,0
OG0007210,1,0,0,1,43
OG0007211,0,13,0,0,7
OG0007212,0,2,0,0,0
OG0007213,0,0,6,0,0
OG0007214,1,0,0,0,5
OG0007215,3,6,1,0,0
OG0007216,0,3,0,0,2
OG0007217,0,0,0,0,2.916
OG0007218,0,0,0,0,14
OG0007219,0,8,0,0,12
OG0007220,2,0,0,0,3
OG0007221,0,0,0,0,6
OG0007222,0,256,0,2,190
OG0007223,0,28,0,2,16.641
OG0007224,0,6,0,0,6
OG0007225,0,14,0,0,13
OG0007226,0,0,7,0,0
OG0007227,4,2,0,0,0
OG0007228,0,0,6,0,0
OG0007229,5,8,2,12,7
OG0007230,0,145.679,2,1,201.097
OG0007231,0,4,0,0,15
OG0007232,0,0,0,0,5.423
OG0007233,0,3,0,0,8
OG0007234,0,4,0,0,9
OG0007235,0,4,0,0,8
OG0007236,0,2.757,0,0,2.86
OG0007237,0,13,0,2,8
OG0007238,0,9,0,0,9
OG0007239,0,0,0,0,5
OG0007240,0,0,0,0,10
OG0007241,0,0,5,0,0
OG0007242,1,38,0,0,36
OG0007243,0,8,0,0,3
OG0007244,1,0,0,0,7
OG0007245,0,1,0,0,4
OG0007246,0,6,0,0,5
OG0007247,0,12,0,0,10.77
OG0007248,0,0,0,1,8
OG0007249,2,0,0,0,11
OG0007250,0,0,0,0,9
OG0007251,0,0,0,0,11
OG0007252,0,4,0,0,2
OG0007253,0,0,5,0,0
OG0007254,0,3,0,0,7.996
OG0007255,2,0,0,0,22.896
OG0007256,0,16,0,0,13
OG0007257,0,15,0,2,14
OG0007258,0,1.992,0,0,10
OG0007259,0,0,1,0,31
OG0007260,1,0,0,0,11
OG0007261,0,0,0,0,15
OG0007262,0,1,0,0,13
OG0007263,0,1,0,0,12
OG0007264,2,0,2,0,1
OG0007265,0,0,11,0,0
OG0007266,0,5,0,1,4
OG0007267,0,0,6,1,0
OG0007268,0,2,0,0,11
OG0007269,1,0,0,0,15
OG0007270,0,2.483,0,0,5.575
OG0007271,0,5,0,0,4
OG0007272,0,20,0,0,22
OG0007273,0,2,18,0,0
OG0007274,0,2,0,0,3
OG0007275,0,0,0,0,5
OG0007276,2,0,0,0,19
OG0007277,0,0,0,0,13.002
OG0007278,0,14,0,0,27
OG0007279,1,32,40,3,0
OG0007280,0,5.408,0,0,9.391
OG0007281,0,0,0,0,17
OG0007282,0,2,0,0,13
OG0007283,2,0,0,0,6
OG0007284,1,0,0,0,15
OG0007285,0,6,0,0,14
OG0007286,0,3,0,0,7
OG0007287,0,0,0,0,4
OG0007288,0,0,0,0,7.004
OG0007289,2,0,0,0,32
OG0007290,1,0,1,0,27.002
OG0007291,0,4,0,0,4
OG0007292,2,4,1,3,1
OG0007293,1,0,0,0,14
OG0007294,0,2,0,0,9
OG0007295,0,0,0,0,26.404
OG0007296,3,0,0,0,12
OG0007297,1,0,0,0,11
OG0007298,0,3,0,0,8
OG0007299,0,5,0,0,3
OG0007300,1,0,10,0,0
OG0007301,8,4,6,8,4
OG0007302,0,68,3,1,102
OG0007303,0,9,0,0,1
OG0007304,0,49,4,1,67
OG0007305,2,0,12,0,0
OG0007306,0,3,0,0,13
OG0007307,0,0,0,0,7
OG0007308,0,0,3,2,0
OG0007309,77.929,6.468,42.051,35.596,1
OG0007310,1,0,0,0,41
OG0007311,0,10.736,0,0,9
OG0007312,1,0,0,0,7
OG0007313,0,11,0,1,15
OG0007314,2,0,0,0,37
OG0007315,0,0,30,0,0
OG0007316,1,0,1,0,28.513
OG0007317,0,0,0,0,9
OG0007318,1,0,0,0,6
OG0007319,0,1.108,0,0,6
OG0007320,1,0,1,2,1
OG0007321,0,0,0,0,9
OG0007322,1,1,2,3,4
OG0007323,0,0,0,0,6
OG0007324,10.999,1,8,8,0
OG0007325,0,2,0,0,2.062
OG0007326,0,13,0,0,28
OG0007327,0,1,0,0,12
OG0007328,0,21,0,0,29
OG0007329,0,0,9.004,6,0
OG0007330,0,0,0,0,6.178
OG0007331,0,2,0,0,18
OG0007332,0,51,0,1,6
OG0007333,0,7,0,0,10
OG0007334,0,10,0,0,19
OG0007335,1,0,4,0,0
OG0007336,0,0,15,1,0
OG0007676,234.307,288.883,232.15,297,299.845
OG0007677,0,7,0,0,4
OG0007678,6,0,7,9,6
OG0007679,11,1,8.978,13,0
OG0007680,0,174.889,1,2,196.623
OG0007681,4,35,6,10,8
OG0007682,125.571,122,140,227,117
OG0007683,1,3,0,0,16
OG0007684,9.365,4,18,17.999,0
OG0007685,0,5,0,0,9
OG0007686,1,0,36,0,0
OG0007687,0,285.021,0,3,373.334
OG0007688,0,13,5,2,0
OG0007689,42.167,7,39.634,57,29
OG0007690,0,9,0,0,9
OG0007691,0,25,0,0,24
OG0007692,0,0,5,0,0
OG0007693,0,11,0,0,18
OG0007694,91,47,62.002,51,59
OG0007695,0,8,0,0,19.049
OG0007696,0,0,1,0,7
OG0007697,76,11,70,120,35
OG0007698,3,3,12,4,0
OG0007699,8,187,1,1,280.004
OG0007700,2,73.017,18,4,0
OG0007701,0,452.682,1,4,520.195
OG0007702,0,1,0,0,8
OG0007703,4,0,0,1,28
OG0007704,0,10,0,0,5
OG0007705,1,11,6,0,11
OG0007706,0,0,21,6,0
OG0007707,0,348.494,0,7,527.251
OG0007708,0,11.898,0,0,24.663
OG0007709,5,0,7,1,2
OG0007710,0,2,0,0,8
OG0007711,4,0,0,6,0
OG0007712,6,1,8,12,0
OG0007713,0,0,1,0,4
OG0007714,196,337.004,225.011,308,429.565
OG0007715,2,1,55,2,1
OG0007716,1,0,0,0,22
OG0007717,1,0,0,0,36
OG0007718,391.582,252,469.563,279.67,103.288
OG0007719,0,9,0,0,14
OG0007720,4,1,1,0,27
OG0007721,1,52,0,0,125
OG0007722,0,0,27,2,0
OG0007723,0,4,0,0,5.733
OG0007724,0,80.789,1,0,93.98
OG0007725,0,11,0,0,13
OG0007726,23,19,4,9,7
OG0007727,0,1,9,0,0
OG0007728,6,71.779,0,2,162.739
OG0007729,22,224,18,28.001,262.464
OG0007730,20,191,19,36.001,184.002
OG0007731,0,34.999,0,0,58.998
OG0007732,0,9,0,1,24
OG0007733,0,9,0,0,25
OG0007734,0,13,0,0,11
OG0007735,0,36,0,1,73
OG0007736,5,4,3,5,2
OG0007737,1,31,0,0,49
OG0007738,0,3,0,0,6
OG0007739,38,53,31.01,44,92
OG0007740,5,8,7,0,4
OG0007741,4,2,0,0,37
OG0007742,62,16,48,64,0
OG0007743,7,1,9,12,20
OG0007744,0,188,0,3,223
OG0007745,54,11,52,71,23
OG0007746,0,12.654,0,0,8
OG0007747,0,55.078,0,0,47
OG0007748,0,14.115,0,0,19.701
OG0007749,17,18,10,6,57.013
OG0007750,0,19,0,0,33
OG0007751,9,1,2,0,89
OG0007752,0,20.562,1,0,14
OG0007753,0,0,1,0,23
OG0007754,0,31,0,0,30
OG0007755,0,28,39,9,0
OG0007756,0,305.168,2,5,276.046
OG0007757,166,117,202,76,92
OG0007758,0,0,0,0,9
OG0007759,0,0,0,0,16.959
OG0007760,159,84,128.005,162,82
OG0007761,536.432,108.238,570,754.999,42
OG0007762,27,4,6,5,5
OG0007763,0,4,0,0,8
OG0007764,0,0,17,1,0
OG0007765,1,27,0,1,100
OG0007766,27.625,55.012,14.002,44.993,99
OG0007767,0,12.165,0,0,10.515
OG0007768,62,5,52,64,0
OG0007769,0,11,0,0,23
OG0007770,0,64.488,0,0,58
OG0007771,113,116.009,103.244,79,80
OG0007772,24,7,51,44.984,60
OG0007773,279.003,404.893,282,305,380
OG0007774,0,5,58,52,0
OG0007775,1,163,50,32,0
OG0007776,0,148,1,2,185
OG0007777,47.026,32,51,60,24
OG0007778,0,13,0,0,36
OG0007779,24,0,46,0,11
OG0007780,0,4,0,0,14
OG0007781,3647,825,2114.022,401,470
OG0007782,0,0,0,0,5
OG0007783,0,21,0,0,35.948
OG0007784,0,15,20,3,0
OG0007785,0,0,0,0,9
OG0007786,0,14,0,0,14
OG0007787,0,4.787,0,0,14.999
OG0007788,0,53,0,1,61
OG0007789,1,4,2,2,0
OG0007790,0,16,0,0,27
OG0007791,0,0,0,0,24
OG0007792,88,9,63.017,122.392,8
OG0007793,0,2,1,0,6.688
OG0007794,0,0,0,0,5
OG0007795,0,593.81,3,6,643
OG0007796,3,0,0,0,38
OG0007797,0,241,0,2,281
OG0007798,0,6.672,1,0,3.359
OG0007799,27,15,20,12,3
OG0007800,0,4,0,0,9
OG0007801,0,0,6,0,0
OG0007802,12.199,35,7,21.001,20
OG0007803,0,1.888,0,0,15
OG0007804,0,18,0,0,21
OG0007805,14,5,5,11,13
OG0007806,0,4,0,0,9
OG0007807,0,103.708,1.011,1.066,94.485
OG0007808,0,0,1,0,21
OG0007809,1,0,6,0,1
OG0007810,0,3,17,1,0
OG0007811,0,0,0,0,9
OG0007812,0,9,0,0,9
OG0007813,7,2.952,1,4,0.805
OG0007814,135,17,111,107,14
OG0007815,88,220.008,57,109,337
OG0007816,4,1,14,2,0
OG0007817,439,403.126,481,338.238,313.994
OG0007818,50,54.987,65,59,58
OG0007819,4,302,3,1,346
OG0007820,0,6.64,0,0,10
OG0007821,2,0,0,1,18
OG0007822,0,8,0,0,7
OG0007823,50,16,39,72,22
OG0007824,0,0,0,0,18
OG0007825,18,7,13,26,7
OG0007826,3,4,2,0,4
OG0007827,6,0,20,1,15
OG0007828,0,3,0,1,6
OG0007829,0,5,0,0,2
OG0007830,113,92,123,68,59
OG0007831,0,10,0,1,26.906
OG0007832,1,0,3,0,13
OG0007833,2,2,0,0,29
OG0007834,1,1,17,10,0
OG0007835,28,21,22,39,16
OG0007836,3,95,10,6,112.067
OG0007837,0,3.666,0,0,7.587
OG0007838,0,56,1,0,80
OG0007839,0,10,0,0,4
OG0007840,0,15,0,0,32
OG0007841,1,0,0,0,9
OG0007842,1199.608,952.639,1493.003,884,481
OG0007843,0,28.271,0,0,57.663
OG0007844,1,331,0,2,366.224
OG0007845,0,87,26,2,0
OG0007846,18,24.073,17,22,25
OG0007847,41,55,35.003,52,62
OG0007848,7,7,33,18,5
OG0007849,62.078,11,53,72,9
OG0007850,289,134.996,394.562,387,107.573
OG0007851,0,9,0,0,8
OG0007852,0,0,12,0,0
OG0007853,0,0,12,1,0
OG0007854,648.129,439.496,561.592,436.043,288
OG0007855,0,19,48.912,26,0
OG0007856,0,443.256,3,1,597.675
OG0007857,0,12,0,2,7
OG0007858,0,25,0,0,7
OG0007859,0,25.481,0,1,19.575
OG0007860,0,40.053,0,0,50
OG0007861,28,10,488,32,1
OG0007862,0,15.065,0,0,25.012
OG0007863,59,5,50.322,98.725,91
OG0007864,0,29,0,0,52.676
OG0007865,61,128,70,96,68
OG0007866,0,0,0,0,6
OG0007867,6,1,11,0,4
OG0007868,129,130,101.993,84,116
OG0007869,53,26,52,18,33.003
OG0007870,4,389,9,8,273
OG0007871,1,0,1,0,18.001
OG0007872,2,1,2,0,52
OG0007873,0,9.322,0,1,13.455
OG0007874,17,34,30,20,21
OG0007875,0,13,0,0,8
OG0007876,229.274,29,224.827,226.998,43
OG0007877,0,0,0,0,19
OG0007878,717,334,646,466,553
OG0007879,1,0,0,0,35
OG0007880,0,528,0,3,599.987
OG0007881,0,0,0,0,24.712
OG0007882,8,3.199,5,114.802,13
OG0007883,85,89,72.003,114,80.885
OG0007884,1,0,17,4,0
OG0007885,1,0,0,0,30.001
OG0007886,2,148.312,0,2,233.161
OG0007887,117,21,132.957,246,31
OG0007888,0,25,0,2,0
OG0007889,9,1,3,0,64
OG0007890,0,0,0,1,15
OG0007891,385.891,48.983,465.522,442.532,25
OG0007892,0,9,0,0,11
OG0007893,0,33.636,1,1,64.813
OG0007894,0,5,0,0,7
OG0007895,332,141,243,173,178.07
OG0007896,2,1,113,1,0
OG0007897,5,274,2,1,419.06
OG0007898,0,6,0,0,10
OG0007899,0,0,29,1,0
OG0007900,0,0,0,0,12
OG0007901,1,0,0,0,7
OG0007902,0,222,5,3,268
OG0007903,1,0,0,0,4
OG0007904,14,72.858,18.002,20,83.821
OG0007905,3,18,231.003,86,0
OG0007906,0,2,0,0,5
OG0007907,0,2.832,0,0,17
OG0007908,0,14,0,0,31
OG0007909,2,124,28,15,167.1
OG0007910,0,28,0,2,8
OG0007911,4,1,192.602,14,0
OG0007912,0,39,0,0,48
OG0007913,0,26.089,0,1,48
OG0007914,61,14,45,72,19
OG0007915,183,359.217,222,249,360.302
OG0007916,0,8,0,0,10
OG0007917,9,2,9,15,0
OG0007918,100,97,57,57,141
OG0007919,0,0,0,0,12
OG0007920,1,32.005,0,0,0
OG0007921,0,5,0,0,9
OG0007922,423,95,594,675,117
OG0007923,0,16,0,0,24
OG0007924,79.186,254.086,108.503,146.609,17.146
OG0007925,6,0,5,0,0
OG0007926,1,1,0,0,48.001
OG0007927,1,11.122,0,0,27.264
OG0007928,0,7.999,0,0,3.192
OG0007929,2,341,3,6,525.036
OG0007930,16,3,114.999,13,0
OG0007931,56.009,119.998,52,96,99
OG0007932,0,11,0,0,22
OG0007933,0,4.41,0,0,3.36
OG0007934,9.322,0,0,0,22.084
OG0007935,9,30,10,19,41.008
OG0007936,0,18,0,1,23
OG0007937,0,2,0,0,12
OG0007938,25,5,17,30,0
OG0007939,8,0,16,10,0
OG0007940,1,96.967,0,0,103.025
OG0007941,2,0,0,0,41
OG0007942,10,5,12,3,46
OG0007943,1,0,0,1,50.988
OG0007944,0,91,2,1,141
OG0007945,689.011,740,1163.1,155,164
OG0007946,69,29,77.009,98,10
OG0007947,0,9,0,0,9
OG0007948,11,0,8,2,0
OG0007949,0,7,33,9,0
OG0007950,2,20,18,10,16
OG0007951,0,15.45,1,0,17.635
OG0007952,257.624,598,150,70,93
OG0007953,4,7,3,3,2
OG0007954,0,165,0,5,194
OG0007955,0,0,5,0,0
OG0007956,19.001,2,14,15.976,13
OG0007957,0,37,0,0,45.001
OG0007958,121,706.586,164,176.984,840.999
OG0007959,77,50,39,60,33
OG0007960,0,128,0,1,150
OG0007961,106,113.232,117,140.011,93.889
OG0007962,298,100.999,261,432.999,40
OG0007963,1,68.295,0,1,73.65
OG0007964,20,154.834,25,21.001,201.797
OG0007965,74,24.139,86,150.006,0
OG0007966,15,6,17.998,25,0
OG0007967,0,41.82,0,5,83.507
OG0007968,5,303,3,2,357.082
OG0007969,0,9,0,0,15
OG0007970,0,161.096,6,4,193.945
OG0007971,0,0,65,0,0
OG0007972,0,0,0,0,34
OG0007973,1,231,2,2,218
OG0007974,438.757,176.758,330.835,201.906,106.097
OG0007975,91.107,145.379,101.045,151.192,146.734
OG0007976,0,116,3,1,171
OG0007977,100,275.456,102,135,346.997
OG0007978,5,189.78,3,4,358.902
OG0007979,10,16,19.001,28,15
OG0007980,0,267,2,2,350.445
OG0007981,0,76,0,0,61
OG0007982,9,308.708,20,25,372
OG0007983,1,346.53,2,4.178,491.164
OG0007984,0,2,0,0,5
OG0007985,1,0,0,0,10
OG0007986,233.999,26.746,239,203.628,55
OG0007987,0,51,0,0,66
OG0007988,1,30,0,0,31
OG0007989,0,184.93,2,0,173.959
OG0007990,0,235,1,2,312
OG0007991,0,0,17,0,0
OG0007992,8,33,7,8,32.077
OG0007993,0,6.616,0,0,16.499
OG0007994,117.247,272,104.568,131.91,253.493
OG0007995,43.835,46.989,41.194,67.704,55
OG0007996,0,16,0,0,14
OG0007997,0,3,0,1,14
OG0007998,0,21,0,0,12
OG0007999,6,154,27,43,156
OG0008000,30,5,20,38,74
OG0008001,2,0,3,0,3
OG0008002,0,278.404,2,0,314.54
OG0008003,0,38,0,0,52
OG0008004,89,131.869,67,69,171.051
OG0008005,0,18.479,0,0,12.442
OG0008006,0,13,0,0,22
OG0008007,0,4,0,0,5
OG0008008,9,6,6,4,5
OG0008009,0,4,0,0,6
OG0008010,1,13.856,0,0,24.007
OG0008011,0,36.799,1.002,1,34.175
OG0008012,195.002,80.94,178.001,213,99.827
OG0008013,120,303,128,212,306
OG0008014,123,122,120,199,139
OG0008015,38.609,17,48.999,40,64
OG0008016,116.786,27.597,178.641,251.58,19
OG0008017,0,52.873,0,0,84.643
OG0008018,0,8,0,0,17
OG0008019,0,30,0,1,36
OG0008020,0,0,0,0,60
OG0008021,77,600.281,111.088,76.834,347.367
OG0008022,0,19.138,0,3,41.134
OG0008023,8,14.032,3,5,23.021
OG0008024,1,1,0,0,67
OG0008025,272.371,420,354.972,482.905,414
OG0008026,1,312.765,2,2,395.543
OG0008027,0,1,46,2,0
OG0008028,0,11,0,0,35.245
OG0008029,0,13,0,0,8
OG0008030,1,467.001,3.007,8,586
OG0008031,0,21,0,0,74
OG0008032,4,0,3,0,51
OG0008033,0,25,0,0,30
OG0008034,139.125,54,89,75,63
OG0008035,0,15,0,0,36
OG0008036,1,225,0,3,219
OG0008037,2,9,90,2,0
OG0008038,156,105,132,118,67.434
OG0008039,0,74,0,0,90.059
OG0008040,0,40,0,0,48
OG0008041,4,1,0,6,1
OG0008042,371.256,514,489.472,552.99,661.776
OG0008043,0,33,1,1,43
OG0008044,0,0,0,0,28
OG0008045,8,2,3,1,0
OG0008046,20,12,10,2,1
OG0008047,1,2,1,0,62.964
OG0008048,1,0,0,0,22.552
OG0008049,0,151.804,2,0,176.872
OG0008050,18,129,25.195,15,134
OG0008051,1,0,21,2,0
OG0008052,0,620.831,3.028,7.043,808.956
OG0008053,3,0,102,5,0
OG0008054,1,0,28,0,0
OG0008055,0,38.551,0,0,32.606
OG0008056,0,3,0,3,47.001
OG0008057,1,0,0,0,56
OG0008058,10,1,6,5,0
OG0008059,1,146.994,0,0,145.03
OG0008060,0,77,0,0,94
OG0008061,2,41.998,6,1,2
OG0008062,0,11,0,0,59
OG0008063,1,12,0,0,20
OG0008064,13,1,24,19,5
OG0008065,0,33,0,0,44
OG0008066,0,74,0,0,82
OG0008067,6,1,3,0,88.87
OG0008068,0,397.241,0,10,508.144
OG0008069,1,28,0,0,45
OG0008070,4,30,26,4,2
OG0008071,5.189,82.831,2,3.91,163.221
OG0008072,0,3,0,0,8.009
OG0008073,2,54,1,0,77
OG0008074,1023.858,950.555,1015.035,767.2,1473.871
OG0008075,0,10,0,0,17.999
OG0008076,0,25,0,0,34.001
OG0008077,101,836.249,98,50,938.816
OG0008078,48,27,37,46,13
OG0008079,0,23,0,0,20.67
OG0008080,134,198,193,124,173
OG0008081,1,107,1,1,119
OG0008082,10301.106,4475.686,8561.128,16089.618,1343.833
OG0008083,2,0,0,2,52
OG0008084,17,27,30,40,19
OG0008085,0,29,0,1,40
OG0008086,5,141,0,6,210
OG0008087,0,0.996,0,0,6
OG0008088,11,24,3,4,26
OG0008089,0,0,0,0,7
OG0008090,101,19,91,154,7
OG0008091,98,38,60,38,45
OG0008092,12,4,98.051,42,0
OG0008093,1,42.056,3,0,42.956
OG0008094,86.997,101.245,92.001,143,74
OG0008095,1,257,4,2,537
OG0008096,1268,2095.833,1213,839,319.67
OG0008097,0,12.446,0,0,15.281
OG0008098,0,15,0,0,24
OG0008099,47,19,14.203,24,11
OG0008100,0,71,0,0,79
OG0008101,2,3,1,0,40
OG0008102,0,285.011,0,3,246
OG0008103,25,259.138,28,33.002,307.728
OG0008104,0,0,17,2,0
OG0008105,84,59,89.993,98,26
OG0008106,1,220,0,2,271
OG0008107,0,152.317,1,4,181.294
OG0008108,64,287,65.001,100,290
OG0008109,0,19,0,0,38
OG0008110,6,2,1,0,58
OG0008111,0,117,2,6,128
OG0008112,4,398.799,2,5,537.961
OG0008113,1,169,6,1,233
OG0008114,0,12.887,0,0,15
OG0008115,0,15.479,0,0,30.455
OG0008116,21,3,5,0,2
OG0008117,1,1,53,5,0
OG0008118,569,375,474,520.981,129
OG0008119,1,0,0,0,60.118
OG0008120,4.013,15.895,10,9,5.571
OG0008121,0,27,0,0,32
OG0008122,0,7.999,0,0,10
OG0008123,0,0,0,0,21.925
OG0008124,51,95,39,63,85.075
OG0008125,60,152.001,53,53,181.409
OG0008126,4,10,6,5,24
OG0008127,0,0,17,1,0
OG0008129,89,28,148.483,143.412,0
OG0008130,0,26,0,1,59
OG0008131,4,427.979,3,6,601
OG0008132,0,6,0,0,7
OG0008133,0,184.855,1,2.607,219.314
OG0008134,7,466.396,2.637,3,627.166
OG0008135,0,7,0,0,15
OG0008136,46,117.669,34,61.553,97.718
OG0008137,54,49,57,44,32
OG0008138,70.008,7.999,62.01,90.732,40
OG0008139,0,11,0,0,12
OG0008140,0,41,0,1,42
OG0008141,6,2,12.002,9,0
OG0008142,4,87.256,6,3.001,147.277
OG0008143,61.106,83,72,51,25
OG0008144,1274,749.276,1289,760,1284
OG0008145,0,7,0,0,10
OG0008146,62,49,50,50,22
OG0008147,7550.672,9684.461,9606.524,9060.556,2005.869
OG0008148,0,319,2,2,332.49
OG0008149,21,1,19.001,31,0
OG0008150,10,8,9,9,9
OG0008151,0,56,0,0,61
OG0008152,0,121.598,0,1,122.084
OG0008153,0,14.434,0,1,21.997
OG0008154,0,63.254,0,3,106
OG0008155,0,12,0,0,20
OG0008156,0,2,0,0,53
OG0008157,1,0,0,0,44.727
OG0008158,2,332,4,5,413
OG0008159,1,82,1,2,176.681
OG0008160,0,41,0,0,45
OG0008161,0,51,0,1,51
OG0008162,15,32,17,7,44
OG0008163,0,0,0,0,25
OG0008164,0,42,0,1,33
OG0008165,0,6,0,0,12
OG0008166,0,41,0,1,47
OG0008167,2,365.47,0,1.822,446.984
OG0008168,0,145.006,1,2,141
OG0008169,0,0,0,0,45
OG0008170,6,27,1,0,104.303
OG0008171,31,45,23,23,17
OG0008172,0,2,15,7,4
OG0008173,2,1,1,0,16
OG0008174,3,228.936,0,1,321.999
OG0008175,59,23,78,75,88.065
OG0008176,0,39,0,1,47.773
OG0008177,142,101,142,115,128
OG0008178,0,178,1,3,253.087
OG0008179,2412.999,1777.809,1608.391,1526.849,1701.999
OG0008180,38,40,33,37,17
OG0008181,22,34,25,28,14
OG0008182,225.001,13,115,146,1
OG0008183,2,449.702,2,7,760.013
OG0008184,6,137,5,4,172
OG0008185,629.93,420.873,605,1072.012,366.127
OG0008186,8.001,1019.996,4.683,5.218,1345.578
OG0008187,0,13.645,0,0,13
OG0008188,5167.443,4494.966,3970.129,4031.319,284
OG0008189,22,0,23,0,0
OG0008190,1,0,0,0,35.993
OG0008191,0,31,0,0,1
OG0008192,24,70,20,37.998,87
OG0008193,34,21,21,12,35
OG0008194,134.033,76,118,150,112
OG0008195,22.147,35,17,13,0
OG0008196,0,48,0,1,76
OG0008197,1,75,0,1,145
OG0008198,0,46,0,0,64.008
OG0008199,0,31,0,0,42
OG0008200,107,106.012,147.242,143.34,194
OG0008201,3,21,291,123,0
OG0008202,167.001,208.285,184,279.002,191.473
OG0008203,0,0,0,0,12
OG0008204,0,7,0,0,43
OG0008205,3,149,0,0,176
OG0008206,0,22,0,0,32.382
OG0008207,1,0,4,6,0
OG0008208,0,9,0,0,13
OG0008209,236,128,304,298.028,95
OG0008210,3,30,76.001,6,0
OG0008211,0,6.226,0,0,15.036
OG0008212,0,0,0,0,27
OG0008213,5,6,172.002,26,0
OG0008214,18,16,21,12,12
OG0008215,203.747,263,242.001,282,405.002
OG0008216,0,118,1,0,128
OG0008217,0,173,4,2,314
OG0008218,24,0,11,0,1
OG0008219,671.007,360,400,363,90
OG0008220,0,11,0,0,10
OG0008221,75,191,118,66,228
OG0008222,0,24,0,0,23
OG0008223,26,8,29.001,37,0
OG0008224,11,1,1,0,108.023
OG0008225,0,35.866,1,0,36.879
OG0008226,81,67,82,55,14
OG0008227,61,47,55,47,43
OG0008228,0,22,0,0,23
OG0008229,30,10,10,1,0
OG0008230,0,15,1,0,31
OG0008231,1,2,1,0,42
OG0008232,0,66.997,0,1,53
OG0008233,0,21,0,0,28
OG0008234,211,279.489,213.992,305.94,347
OG0008235,1,0,0,0,11
OG0008236,3,69,7,9,82
OG0008237,0,0,19,0,0
OG0008238,0,15,0,0,38
OG0008239,0,13.957,0,0,15.733
OG0008240,5,1,4,0,3
OG0008241,0,48,0,2,65
OG0008242,173,180,304,430,200
OG0008243,6,183,1,1,255
OG0008244,10,10,6,6,1
OG0008245,0,26,0,0,28.936
OG0008246,0,11,0,0,7
OG0008247,47,34,15,22,12
OG0008248,6,0,1,0,108
OG0008249,1,155.54,0,1.002,242.954
OG0008250,0,72,0,0,165
OG0008251,12,3,28,0,1
OG0008252,542.806,473.337,616.825,421.906,418.227
OG0008253,83,154.296,103,113,230.313
OG0008254,4,148,0,1,228
OG0008255,104.957,130,248,125,223.001
OG0008256,53,21,58,32,14
OG0008257,0,49,0,1,55
OG0008258,0,3,0,1,19
OG0008259,175.72,491.465,203.936,249.366,549.196
OG0008260,1,84,0,1,110.001
OG0008261,72.13,27,84.909,101.999,15
OG0008262,5,24,0,0,44.95
OG0008263,0,18,0,0,9
OG0008264,113,141,153,303,202
OG0008265,58,39,66,50,22
OG0008266,6,4,4,14,4
OG0008267,126,255,144,88,227
OG0008268,3622.292,2896.001,4367.204,3763.718,3495.944
OG0008269,0,11,0,0,31
