OG,Cnat_1,Cnat_2,Cnat_3,Cnat_4,Cnat_5
OG0000136,2563.73,1840.475,2511.553,1982.073,1459.997
OG0000137,102.8,189,74,109.479,514.049
OG0000138,837.995,715.675,978.163,1223.303,1158.325
OG0000139,944.895,959.887,1174,676.022,527
OG0000140,1414.684,1143.99,1263,939.999,554.979
OG0000141,0,8,0,2,6
OG0000143,95,18,27,4,4
OG0000144,2192.007,1348.502,2385.058,1961.689,536.744
OG0000145,11901.104,9303.926,15394.423,8086.009,4558
OG0000146,401,312.535,375,278,189
OG0000147,506,298,235.033,264,144
OG0000148,941,1326.038,719,450.177,583
OG0000149,138,104,120,108.396,192
OG0000150,130.403,244.999,154.383,131,115.992
OG0000151,2941.787,2302.402,3708.554,2377.641,562.949
OG0000152,124,193.147,81,58,37
OG0000153,1,2,0,0,44.815
OG0000154,685.997,227.999,333.443,636.025,110
OG0000155,46.302,44,41.919,86,35
OG0000156,45.38,179.001,21.06,25.252,1834.312
OG0000157,193.033,168.008,340.013,185.825,32.462
OG0000158,35,26.981,74,26,1
OG0000159,108,370.146,101.004,148.011,350.901
OG0000160,1043.837,1362,1052.849,554.63,651.329
OG0000161,271.963,269.042,533.041,158.146,54
OG0000162,40.076,117.521,68.002,44.154,56.782
OG0000163,133.155,6793.072,55.999,115.449,9228.281
OG0000164,342,546,448,369,383.497
OG0000165,289.555,158,279.031,167,256.435
OG0000166,36.027,1810.546,70.006,41.001,1011.785
OG0000167,21,58.076,15,24.051,766.023
OG0000168,6763.432,5911.911,5805.358,5543.047,4448.748
OG0000169,203.063,250.375,335.771,354.396,47.243
OG0000170,6188.915,5647,6278.944,4752.848,3612.845
OG0000171,11389.187,10628.993,13777.615,8959.981,5119.368
OG0000172,118,203,72,44,148
OG0000173,1338.297,3092.111,1355.305,949.424,1586.081
OG0000174,1518.985,1530.911,1467.382,1266.319,867.773
OG0000175,717,323.001,242,263.001,118.998
OG0000176,41,30,35,25,12
OG0000178,84,625,89.001,74,782.973
OG0000179,1799,632,1628,3298,555.568
OG0000180,2165,1893,2221,1668.087,1535
OG0000181,3395.97,3937.941,4530.422,2932.145,2206.999
OG0000182,6906.628,5503.677,8183.077,5049.666,2208.811
OG0000183,180,122,140,135,78.001
OG0000184,0,385.749,2,5.999,541.535
OG0000185,306,260,328.023,338,414
OG0000186,314.934,165,220,132.996,146.933
OG0000187,204,180.411,178.002,174.346,407.064
OG0000188,815.069,361.658,498.01,360.138,166
OG0000189,51,28,35,15,23
OG0000190,658.696,176.546,658.902,574.774,102.677
OG0000191,441,1003.944,638,232,1175
OG0000192,358.044,207,358,251.002,170.003
OG0000193,88.966,44,18,54.815,91.819
OG0000194,3015.858,2545.354,4702.519,2098.294,1224.399
OG0000195,355.44,151.626,1885.572,177.223,488.479
OG0000196,55,31,35,27,22
OG0000197,5357.904,4680,7821.784,4495.999,2263
OG0000198,213.042,227,281,119,93
OG0000199,103,78,74,84,48
OG0000200,79.189,52.319,56.339,32.311,52.23
OG0000201,561.361,1664.012,884.007,386.037,1250.001
OG0000202,260.98,129.642,269.915,367.74,43.282
OG0000203,11778.853,11692.319,14214.306,7263.28,4675.169
OG0000204,166,256,119,49,107
OG0000205,91.073,199.843,214.209,108,51
OG0000206,183.001,311.647,171.905,139,92.051
OG0000207,157,110,127,98.005,159
OG0000208,15.083,14.305,34.924,24.685,9.771
OG0000209,9327.823,8694.784,10671.984,6878.05,3239.967
OG0000210,285,150,94,138,245
OG0000211,0,35,0,0,29.993
OG0000212,186.644,475.201,164.563,109.952,648.138
OG0000213,289.003,231,217,154,151.802
OG0000214,3199.672,1437,3520.124,3126.929,588
OG0000215,3026,1106.003,2029.136,3930.071,871
OG0000216,3070.944,6715.007,3644.553,2361,2715.77
OG0000217,2178.006,2327.753,2241.905,1442.923,1398.799
OG0000218,764,364,586,291,229.023
OG0000219,111,381.465,142,153.31,535.078
OG0000220,4405.282,6348.541,5290.07,2654.358,3010.376
OG0000221,86.011,84.463,26.768,38.111,19.306
OG0000222,563.781,168.837,353.574,311.157,200.152
OG0000223,1821.998,855.538,1676.572,2033.601,874.376
OG0000224,1048,1174.947,1134.699,582.987,714.496
OG0000225,0,88,0,1,87
OG0000226,1274.337,1341.679,1468.753,998.484,2717.276
OG0000227,660.467,1077.059,695.454,766.283,844.029
OG0000228,517,708,653.004,291,216.17
OG0000229,192.397,174,352,180,184.992
OG0000230,1174.606,650.788,1320.904,1257.658,244.146
OG0000231,15,0,27,0,3
OG0000232,164,61,90.001,74,322.999
OG0000233,305,173.385,342,229.26,61
OG0000234,59.748,493.43,57.488,85.267,325
OG0000235,1250,1062,1087,661,880
OG0000236,110.182,480.462,114.809,99.185,519.462
OG0000239,33,780.976,665,242,974.915
OG0000240,35,210.004,29,19,281.005
OG0000241,45,18,37,19,98.38
OG0000242,117,413.49,101.905,129.782,520.579
OG0000243,750.426,676.275,407.014,734.985,227
OG0000244,116,161,85,86,170
OG0000245,66,799.013,72.161,125,929.345
OG0000246,12,4,6,19,6
OG0000247,270,1816.476,231,435,209
OG0000248,11678.857,9400.614,13764.9,8771.291,3998.025
OG0000249,1622.434,2596.807,1674.629,804.247,1305.394
OG0000250,442.263,181,431.983,296.258,655.887
OG0000251,243,213,94,135,72
OG0000252,38,376,13,42.915,469
OG0000253,0,67,0,0,17
OG0000254,8840.579,6859.996,7722.187,7480.061,8030.633
OG0000255,219,130,174,68,94
OG0000256,205,152,416,84,100.001
OG0000257,3319.106,2471.058,3480.141,2588,1440.229
OG0000258,9,15,8,8,18
OG0000259,1491,662.152,1368,821,2040.021
OG0000260,4.002,0,3,8.627,0
OG0000262,367.014,150.364,320.223,413.302,131.755
OG0000263,3502.616,1036.523,3036.335,8514.581,422.01
OG0000264,888,520.232,533,593,264.001
OG0000265,1,184.34,0,3.825,245.672
OG0000266,107,60,30,37,19
OG0000267,11,17,5,3,9
OG0000268,94,176,67,35,28
OG0000269,690.035,799.945,725.037,897.575,1101.797
OG0000270,138.004,464.478,412.273,204.837,171.625
OG0000271,5847.672,4649.35,6272.59,4153.68,2242.139
OG0000272,62,64,40,33,25
OG0000273,10,9,13,6,1
OG0000274,475.667,348,521,276.055,414.538
OG0000275,6238,6836.614,7317.125,5024,2401.002
OG0000276,1555,993,1596.099,1024.737,1185.027
OG0000277,0,200.071,2,2,275.579
OG0000278,144,161,117,126,63
OG0000279,247,178,625,160,346.005
OG0000280,11,12,18,16,6
OG0000281,341.769,287,376.064,238.815,197.526
OG0000282,121,416,92.03,78,239
OG0000283,199.613,172.396,230.969,180.043,155.165
OG0000284,1070.159,856.183,844.854,1014.637,452.405
OG0000285,1132.019,730.963,1042.902,505.466,473.322
OG0000286,1295.744,981.195,1565.217,1550.39,567.001
OG0000287,121,147,165,101,75
OG0000288,98,101,119,230,174
OG0000289,41.345,51.993,25.892,476.897,64.643
OG0000290,87,48.993,66,99,163.399
OG0000295,723.256,314.172,744.279,1166.79,357.02
OG0000296,488.94,310.706,6497.674,566.177,311.406
OG0000297,4,0,0,0,62.043
OG0000298,8677.037,1818.768,1764.836,1481.836,1494.492
OG0000299,6048.216,3274.478,6276.735,3199.666,1958.139
OG0000300,19,81.039,13,12.679,234
OG0000301,3,121,4,11,58
OG0000302,3698.157,3113.007,3814.559,2738.796,1187
OG0000303,819.096,425,644.001,406,112
OG0000304,39,180.999,36,55,495.289
OG0000305,316.048,198.164,183.993,267.305,161.322
OG0000306,523.999,639,824.006,570,485
OG0000307,36273.67,24589.928,40934.057,50192.734,7190.999
OG0000308,777,292,669,430,72
OG0000309,120,120,85,66,51
OG0000310,5,5,8,0,24
OG0000311,304.999,616.068,328.327,296.819,629.832
OG0000312,6,18,5,2,5
OG0000313,512.248,265,850.94,260.403,389.966
OG0000314,0,0,0,0,112.001
OG0000316,807.987,281,863,171,20
OG0000317,0,30,0,0,24.059
OG0000318,3229.157,2595.451,3617.848,2201.023,1425
OG0000319,2141,2535.996,3375.999,668,949
OG0000320,870.26,775,1194.016,864,543
OG0000321,601,791.979,784,759.45,363
OG0000322,6940.821,6102.238,5450.607,8272.526,998.345
OG0000323,8,75,11,13,133.009
OG0000324,5269.981,9155.888,6058.938,4332.142,5132.558
OG0000325,9003.331,7259.991,10586.633,6332.604,2810
OG0000326,437.226,329,500,369,73
OG0000327,150.914,51.63,105.704,54.035,2.277
OG0000332,23,107,33,16,25
OG0000333,249,118,382,44,1236.985
OG0000334,9145.051,10179.789,10710.042,7174.129,5151.074
OG0000335,2,296.549,3,7.999,392.497
OG0000336,0,11,1,1,23
OG0000337,6697.996,6517,8238.934,5102,3699
OG0000338,276.997,69,280.009,406,77.004
OG0000339,7790.005,6075.015,8426.88,5652.499,3145.758
OG0000340,412.318,292,277.735,172.693,120.994
OG0000341,78.621,13.053,47.313,13.386,6
OG0000342,579,457.071,344.226,340,61.003
OG0000343,5,1,1,2,163.869
OG0000344,72,152.204,89,117,188.869
OG0000345,15,0,7,0,2
OG0000346,47.474,27.819,39,51.002,36
OG0000347,4224.659,3817.064,5834.006,3678.201,1692.33
OG0000348,1216.23,646.973,1115.192,539.849,93
OG0000349,1302.002,505,1089.808,603,271
OG0000350,6,1,0,0,90
OG0000351,3742.782,6821.904,4288.973,2635.087,2806.01
OG0000352,1938.25,559.369,2571.762,1860.848,470
OG0000353,88,81,47,60,46
OG0000354,180,120,231.33,94,43
OG0000355,4732.041,4415.071,5120.989,3652.09,2043
OG0000356,2234.81,2126.355,2212.06,1918.156,1703.112
OG0000357,32.893,4,25,21,16
OG0000358,8993.623,31989.463,21898.255,6223.234,4359.781
OG0000359,2938.061,5490.894,2058.712,2886.236,543.535
OG0000360,1945,1264,1535.855,2028.996,358
OG0000361,301.141,92.129,342.99,155,98
OG0000362,140.117,59.962,106.447,96.037,40
OG0000363,0,91.009,1,1,151.998
OG0000364,146,32.004,163.031,215.029,0
OG0000365,418,319,341,245,269
OG0000366,0,0,0,0,35
OG0000367,3273,4281,4172.725,2860.991,1562
OG0000368,290.051,298.599,181.751,168.491,194.111
OG0000369,87,68,86,69,31
OG0000370,0,1,0,0,31
OG0000373,5206,4056.529,7229.197,3596.589,1942.693
OG0000374,1539,2188,1949,1279.14,1192
OG0000375,64,24.445,59.413,26.766,30.801
OG0000376,108.896,201,110,78,190
OG0000377,0,37,0,1,48
OG0000378,538.937,210.615,493.297,637.02,56.757
OG0000379,8830.054,9072.335,10596.579,7216.963,3926.816
OG0000380,575.651,272.146,534.303,649.006,457.889
OG0000381,5,3,0,0,112
OG0000382,323,468,414,271,293
OG0000383,235.995,340.925,617.03,180.402,195.59
OG0000384,5,0,29,7,303
OG0000385,198,424,259.001,183,37
OG0000386,883.207,188,929,654.012,64.002
OG0000387,3056.556,3909.822,4204.318,1654.002,339
OG0000388,25,26,27.998,27,10
OG0000389,665,121,832.422,781.122,76
OG0000390,914,2326.517,935.167,1431.056,320
OG0000391,315.238,8810.432,112.358,108.211,17531.733
OG0000392,1233,706,1322.006,1817.231,1172
OG0000393,249.64,43.398,312.753,317.258,134
OG0000394,89,20,82,93.302,128
OG0000395,192,84,87,114,56
OG0000396,81,20,70,86,0
OG0000397,49,7,34,52,0
OG0000398,2179.001,1627,2471.723,1038,512
OG0000399,2237.073,1943,3188,2171,1016
OG0000400,361.655,400,372.038,190,153
OG0000401,2,905.998,7,6,1130.514
OG0000402,3855.114,3990,4080.799,4191.631,2476.198
OG0000403,3172.381,2309.65,3562.023,3290.03,1743.177
OG0000404,979.001,717,760,501,326
OG0000405,248.001,589,219,75,77
OG0000406,1471.044,176.232,149.003,412.806,2504.969
OG0000407,439.279,306.919,266,324.926,420.928
OG0000408,2,2,38,5,0
OG0000410,3,568.456,1.998,8.901,833.699
OG0000411,6293.643,5834.118,8213.968,6229.008,2106
OG0000412,3350.999,2527.957,3753.345,2174,1510.6
OG0000413,62.198,3119.961,32.733,52.552,4556.314
OG0000414,9,4,6,35,1
OG0000415,341,74.46,409.075,589.791,37
OG0000416,11,0,15,0,65
OG0000417,282.001,538.4,361,403,609.343
OG0000418,8,2,18,1,36
OG0000419,5449.292,3607.1,6333.84,5590.637,1418.394
OG0000420,5969.666,8588.242,6094.09,5946.285,2142
OG0000421,5526.667,5520.949,6210.674,2595.992,4260.031
OG0000422,36,38,558,320,0
OG0000423,392,236,223,202,125
OG0000424,95,87,81,57,39
OG0000425,1,220.124,1,3,233.423
OG0000426,229,352,239,89,4
OG0000427,1050.451,593,981,252.002,306
OG0000428,69,10,57,65,23
OG0000429,2620.393,2724.299,1955.158,1169.512,2777.139
OG0000430,230,823.554,215,366,1110.875
OG0000431,0,460.005,4,4,527.369
OG0000432,15,59.086,86.989,50.99,86.325
OG0000433,0,225.46,2,0,216.82
OG0000434,65.008,76,131.542,61.005,30
OG0000435,536.987,440,568,411.999,347
OG0000436,21,83,21,14,118.972
OG0000437,716.278,384.071,802.322,493.074,67.037
OG0000438,384,574,623,198,272
OG0000439,610.992,358,389,333,462
OG0000441,0,400.401,0,2,610.494
OG0000442,3717.944,1250.907,3554.649,1201.575,469.873
OG0000443,47,18,48,60.817,26.454
OG0000444,18,95.304,11,42,180.134
OG0000445,0,66.514,0,0.999,96.904
OG0000446,217,683,335,240.903,81
OG0000447,1405.427,996.509,1160.746,929.719,933.501
OG0000448,134,78.542,118.379,103.067,53.004
OG0000449,1088.802,897.418,1336.928,741.192,670.598
OG0000450,348,123,239.093,100,232
OG0000451,1123,690,1251,429,637
OG0000452,927.001,737,947.811,501.009,255
OG0000453,26,61,34,0,15
OG0000454,768,791.677,813.249,509,195.948
OG0000455,85,93,73,38,71
OG0000456,2,21,5,0,0
OG0000460,8,36,7,3,10
OG0000461,0,225,1,4,337
OG0000462,269.68,132,397.83,82,120
OG0000463,49,29,54,42,12
OG0000464,36.001,47.514,12,27,44
OG0000465,2103.904,1935,2008.642,1243,1030
