OG,Ofav_1,Ofav_2,Ofav_3,Ofav_4
OG0003685,683,437,257,471
OG0003686,7,3,2,1
OG0003688,14,22,44,17
OG0003691,3,0,1,5
OG0003693,14,14,33,20
OG0003694,16.793,14,29.949,27
OG0003696,2,5,4,1
OG0003697,0,0,4.464,4
OG0003698,8,3,21,3
OG0003699,207.482,258.729,362.215,188
OG0003700,0,4,159.148,162
OG0003701,0,0,6,3
OG0003702,121.999,77,67,105
OG0003703,408.002,461.841,634.038,458.966
OG0003704,3,7,1,0
OG0003705,494,487.915,486.707,434.007
OG0003706,93,85,186.614,75
OG0003707,1112.954,858.527,424.361,1145
OG0003709,29,24,52,20
OG0003711,270,220,369.819,119.203
OG0003712,395.992,477.133,799.25,367.996
OG0003713,368.05,425.541,617.44,275.002
OG0003715,234,248.536,415.963,145
OG0003717,322,386.69,640.459,315
OG0003718,8.08,17.399,23,0
OG0003719,13.381,12.287,34.606,16
OG0003720,58,96,157,57
OG0003724,789.579,637.646,214.323,1686.674
OG0003725,322.998,482.681,192,398.54
OG0003726,18,11,16,12
OG0003727,0,0,8,4
OG0003728,484.412,427.907,771.445,306
OG0003730,100,146,249.876,114
OG0003731,541,601.07,244,468
OG0003732,1289.821,1204.816,606.459,1645.823
OG0003733,12,4,0,6
OG0003734,145,215.509,298,155.396
OG0003737,126,227,554.7,273.173
OG0003738,75,78,193.365,79
OG0003740,404.008,402.113,677.319,326.668
OG0003741,317.802,319.41,580.671,243.378
OG0003742,0,0,10,13
OG0003744,254,236,432.746,194
OG0003746,100,130,239.704,115
OG0003747,356.766,427.001,173.382,440.121
OG0003749,53.833,56.396,188.975,89.177
OG0003750,738.1,715.197,1334.471,529.086
OG0003751,424.692,494.882,147,608.366
OG0003752,58,33,7,35
OG0003753,67,50,114.382,28
OG0003754,213,182.64,369.548,128
OG0003755,5,5,4,16
OG0003756,525.968,806.657,227.395,976.75
OG0003757,675.344,710.377,260.002,712.31
OG0003758,1,0,0,7
OG0003759,4,3,13.012,8
OG0003760,79.067,334.68,108.367,27.011
OG0003761,0,0,9,1
OG0003762,174.395,77.93,231,70.011
OG0003764,0,2,7.152,0
OG0003765,742.15,703.531,1293.39,453.082
OG0003766,89,138.238,266.674,117
OG0003767,245,246.743,129,410.024
OG0003768,79,166,85,154
OG0003769,34,46,59,45
OG0003770,810.196,929.264,294.001,508.355
OG0003771,9,11,5,10
OG0003772,48,25,121.24,37
OG0003773,83,79.004,189.643,82.002
OG0003774,52,34,15,27
OG0003775,2,1,15,13
OG0003776,58.007,317.334,70,1
OG0003778,128.607,138,233,93.116
OG0003779,168,228.922,448.029,194.019
OG0003780,147,214,359,209
OG0003782,87,109,175.354,51
OG0003783,77,110,149.169,103.569
OG0003784,129,158,265.001,120
OG0003785,752.264,879.44,1481.776,828.146
OG0003787,33,26,50,36
OG0003788,54,1533.276,61,166
OG0003789,106,109,199,87
OG0003790,501.371,451,170,495.21
OG0003792,532.984,622.314,208.46,424.496
OG0003793,254.658,253.324,478,233
OG0003794,289,372.679,467,227
OG0003796,1,2,5,5
OG0003797,0,2,54.977,12
OG0003799,9,11,31,17
OG0003800,10,11,7,32.208
OG0003801,1,1,7,0
OG0003802,2385.28,2013.801,452.957,2160.017
OG0003803,75,71,133.321,64
OG0003804,275,289.008,222,243.515
OG0003806,113.932,66,161.039,51
OG0003807,233,257.256,420.047,203.052
OG0003808,158.387,172.108,327.003,166.101
OG0003809,280,249,525.58,202.757
OG0003810,404.493,379.021,94,382.459
OG0003811,119,96,139,48
OG0003812,51.052,35,86,34
OG0003813,68,68,125.994,43
OG0003814,362.015,444.43,650.462,368.753
OG0003815,866.971,883.036,1587.409,687.422
OG0003816,64.881,70,122.546,70
OG0003818,79,81,166,63
OG0003819,108,129,50.999,89.802
OG0003821,14,17,22,12
OG0003822,1127.872,1062.159,1948.566,901.352
OG0003824,12,15,36,29
OG0003825,0,0,39,14
OG0003826,3430.275,3773.042,1840.385,7152.474
OG0003827,78.061,71,139,70
OG0003828,46.282,53,121.285,57
OG0003829,272.977,309.026,537.539,255.007
OG0003830,37,68.986,101.303,48
OG0003832,1309.589,1394.438,932.841,3620.702
OG0003833,0,1,14,6
OG0003834,611.45,534.877,447.077,798.867
OG0003835,865.974,904,297.27,877.804
OG0003836,23,12,34,16
OG0003838,207,206,356.426,123
OG0003839,38.378,418.999,26,138.638
OG0003840,424,353,156.771,458.712
OG0003841,394,288.229,688.916,314.948
OG0003842,376,440.211,185.985,389.014
OG0003843,61,84,142.47,54
OG0003844,1839.317,1130.83,3013.952,1482.046
OG0003845,923.077,1118.245,1859.776,889.568
OG0003846,909.402,968.525,1817.89,865.961
OG0003847,187,292.999,103,192
OG0003848,77,97.029,181.369,63.524
OG0003850,57,79,148.127,54
OG0003851,11,4,11,4
OG0003852,0,1,23,11
OG0003853,1,1,3,3
OG0003855,12,7,16,10
OG0003856,2772.286,5143.217,3442.771,3275.451
OG0003857,4,4,3,15
OG0003858,114.642,173.061,288.725,172.609
OG0003859,139,165,297.422,172
OG0003860,44,41,83,34.148
OG0003861,178.397,226.715,478.18,223.829
OG0003862,822.189,672.041,1277.435,474.216
OG0003863,799.904,844.835,1505.355,840.794
OG0003864,41.445,27.942,16.95,40.749
OG0003868,507.936,483.082,849.431,349.18
OG0003870,627.008,512,227.544,565.001
OG0003872,17,0,0,10
OG0003873,802.007,976.747,1941.11,857.259
OG0003875,1191.454,1016.542,879.721,2449.352
OG0003877,183.899,143.495,290.85,108
OG0003878,283.969,289.718,549.858,183.027
OG0003879,112.956,221.658,101.578,210.925
OG0003881,108.236,87,197,114.516
OG0003882,653.995,607.36,354.578,543.125
OG0003883,122,159.157,274.999,132
OG0003884,71,97.242,136,63
OG0003885,341.718,391.093,596.469,294.122
OG0003887,456.203,373,179,697.276
OG0003890,26,26,23,55
OG0003891,448.006,519.125,987.256,529.689
OG0003893,713.782,728,251.887,731.95
OG0003894,677.342,570.146,1222.856,449.036
OG0003895,2215.859,1779.493,1153,2645.978
OG0003897,359,358.835,742.822,302.999
OG0003898,736.417,635.395,209,373.002
OG0003899,6032.012,8451.34,6107.029,8903.273
OG0003900,12,2.203,8.686,5.018
OG0003901,14,17,30,18
OG0003902,6,9,14,8
OG0003903,9,9,16,6
OG0003904,583.009,380.36,361.724,787.412
OG0003905,265.088,238.001,577.529,253.796
OG0003906,421.246,292.422,510.994,162
OG0003907,1312.515,1323.297,1125.412,2522.768
OG0003908,688.78,589.196,1079.731,499.027
OG0003909,435.992,452.349,846.474,393.004
OG0003910,340,279,538.574,233
OG0003911,115,109,181.009,88
OG0003913,510.281,326,94,1176.982
OG0003914,625.369,1390.224,608,1031.055
OG0003915,67,92.006,150,68.486
OG0003917,51.984,65,25,39.001
OG0003918,15.057,15.901,41.022,19.844
OG0003919,157.225,114.001,205,77
OG0003920,175.614,183,303.115,136
OG0003921,188.991,161.002,212,118.477
OG0003922,192.323,148,63,450
OG0003924,82,75,182.004,58
OG0003925,388.078,258,110,279
OG0003927,172.033,191.539,346.097,170
OG0003928,260,201,45,179
OG0003929,75,155,263,128
OG0003930,16,11,15,15
OG0003932,823.177,769,306.994,789.526
OG0003933,200,195,414.83,186
OG0003934,101,142,289.829,146
OG0003935,4.001,10,2,2
OG0003938,249,323.118,507.204,260.011
OG0003939,103,106.014,198.638,81.232
OG0003942,2079.31,1435.309,1081.324,2766.741
OG0003943,283,206,112,271.234
OG0003944,233.424,147.653,343.724,136.939
OG0003945,232,249.521,428.959,193
OG0003946,59,56,32,50
OG0003947,0,0,3,3
OG0003948,725.858,940.003,174,481.043
OG0003949,132.362,95,210.177,82
OG0003951,322,234.997,405,258
OG0003952,507.503,575.962,988.589,447.077
OG0003954,84,105.334,153,65.002
OG0003955,20,0,0,236.348
OG0003956,390.696,439.608,550,524
OG0003957,129.42,171.455,237,114
OG0003958,489.577,638.694,940.64,464.001
OG0003959,528.846,412.439,283.886,374.487
OG0003960,28,32,71,19
OG0003962,259.013,485.552,596.631,356.868
OG0003964,215.098,72.191,183.881,262.27
OG0003965,80,111,164.001,92
OG0003966,331.964,305.498,528.065,258
OG0003967,135,148,255.046,124.008
OG0003968,6,1,10,3
OG0003970,3,1,0,0
OG0003971,388,345.403,125,264
OG0003972,75,36,75,14
OG0003973,1204.189,1444.037,496.113,2198.102
OG0003974,627.113,252.674,1531.929,1875.889
OG0003976,126,172.091,298.376,146.699
OG0003978,261.473,260.168,617.769,256.882
OG0003979,73,98.035,162.595,59
OG0003980,11,6,4,4.323
OG0003981,112,166,70,115.981
OG0003982,72,94.608,186,74
OG0003983,33,44,68,55
OG0003984,261,335.995,755.775,341
OG0003985,863.012,1343.02,1759.196,6643.656
OG0003986,3,3,1,9
OG0003989,580.076,636.178,1077.749,577.787
OG0003990,70,18,95.972,77
OG0003991,373.33,349.239,100,425.576
OG0003993,15,33,68.988,17
OG0003994,475.112,359,620.785,291.209
OG0003995,61,71.877,128.076,58
OG0003996,53.008,25,80.123,24
OG0003997,42,23,22,29
OG0003998,68,85,158.724,73
OG0003999,0,0,13,17
OG0004001,1473.584,1103.914,543.367,1324.633
OG0004003,201.313,256.041,385.617,202.011
OG0004004,134,109.502,192.151,109
OG0004005,98,78,91,29
OG0004006,86.695,33.496,81.029,53
OG0004007,776.096,695.858,1296.933,502
OG0004008,10,13,15.826,2
OG0004009,144,244,366.969,116
OG0004010,730.464,861.764,1746.021,900.003
OG0004012,726.012,2368.441,787.607,3464.429
OG0004013,134,146,252.278,78
OG0004014,410,498.012,145,491.988
OG0004016,328.431,407.417,713.682,444.828
OG0004017,1,4,173,41
OG0004018,103,164,222.241,101
OG0004019,49.999,50,99,39
OG0004020,527,290.312,59.001,410.238
OG0004021,686.234,583.036,1165.703,523.312
OG0004022,487.082,510.231,981.783,407.997
OG0004025,398.105,537,804.697,356
OG0004026,20,0,1,18
OG0004027,162,155,335.385,115.998
OG0004028,24,12,19.577,15.002
OG0004029,125,74,162.03,83
OG0004031,52,58.989,112.239,69.383
OG0004032,359.255,335,593,183.004
OG0004034,412.272,335.903,164.158,483.934
OG0004035,160,145,90,157
OG0004036,80,99.367,211.347,117
OG0004039,2,4,10,9
OG0004040,26,51,75,37
OG0004041,506,629.999,901.439,458
OG0004042,162,156.538,126.136,178
OG0004043,13.835,15.993,31.766,6
OG0004046,314.129,561.329,850.85,389.515
OG0004047,176,115.999,45,143
OG0004048,193,215,445.549,180
OG0004049,38,48,68,22
OG0004051,7,1,6,3
OG0004052,1,2,4,2
OG0004053,51,59,124.186,38
OG0004054,16,21.001,13,7
OG0004055,278.374,303.594,206,349.275
OG0004058,1208.676,1428.304,565.962,1671.494
OG0004059,125.208,262.476,151.19,277
OG0004061,203.998,240.003,405.238,240
OG0004062,411.329,533.018,934.297,403.017
OG0004065,522.261,525.997,392.21,360.653
OG0004067,0,0,3,1
OG0004068,118,89.545,191.039,86
OG0004069,132,83,171.982,69
OG0004071,346,347,158,253.014
OG0004073,1540.874,1294.114,2547.458,884.443
OG0004074,175.173,172.169,291.136,153
OG0004075,2063.014,2226.785,863.675,3195.108
OG0004076,65,80.977,87,58.009
OG0004077,17,10.481,2,13
OG0004078,627.343,486.424,930.655,271.067
OG0004079,648.819,733.667,1246.322,631.154
OG0004080,53.557,38.712,53.427,19.862
OG0004081,536.957,426.285,912.718,400.437
OG0004082,193,73,31,59
OG0004083,339.018,274.119,632.251,277
OG0004084,5.426,4.587,25.407,9.554
OG0004085,281.956,340.017,174.155,311.009
OG0004086,14,0,0,3
OG0004087,133,79,196,110.008
OG0004089,1176.152,1316.553,2722.64,1587.89
OG0004090,442.253,574.683,156.452,488.452
OG0004091,2713.972,3344.739,1388,3730
OG0004092,128,118,232,103
OG0004093,4,0,5,0
OG0004094,424.996,506.003,969.006,494.803
OG0004095,84.005,216.107,123.059,147.906
OG0004097,149,128,233,99
OG0004098,343.031,357,557.997,221.252
OG0004099,11,13,23,6
OG0004100,218.418,241,393.218,188
OG0004101,0,0,14.862,4.832
OG0004103,324.482,255,486,173.051
OG0004104,269,352,528.999,286
OG0004105,331.856,397.88,672.951,383.999
OG0004108,325.034,411.01,837,345.452
OG0004109,13,12,29.553,16
OG0004110,46,87,66,78
OG0004111,210,268,411.455,180
OG0004112,16576.649,35977.658,15891.763,33324.289
OG0004114,1553.342,1312.791,475,1730.328
OG0004115,631,478.691,1012.176,421.882
OG0004117,384,446,120.089,355
OG0004118,12,5,19,32
OG0004120,153.024,256.656,230,107
OG0004121,2477.144,3514.053,5524.675,3347.691
OG0004122,5,5,3,7
OG0004123,75,128.852,47,148.01
OG0004124,7,0,1,2
OG0004125,350.999,443,721.979,320.242
OG0004126,21.019,60,94,46
OG0004128,649.13,469.189,309.004,999.616
OG0004129,200.011,267.453,363.019,177
OG0004130,19,30,16,10
OG0004131,985.12,1022.195,603.391,1387.695
OG0004132,816,702,535.559,741.18
OG0004133,329.003,185.447,332.278,145.019
OG0004134,108,142,46,115
OG0004135,603.01,593.119,995.693,433.825
OG0004137,315,288.627,239,483
OG0004138,28,29.994,7,16
OG0004139,344.862,342,632.374,283.014
OG0004141,640.044,495.947,1049.447,340.788
OG0004143,657,387.529,288,541.033
OG0004144,5643.743,6707.898,4027.32,10764.42
OG0004147,80,186,51,103
OG0004148,16,17,33,10
OG0004151,365.471,163,116,209
OG0004152,88.06,77,171,59
OG0004153,9,5.861,17.282,7
OG0004154,384.003,340,93,366
OG0004155,678.187,601.999,1162.226,626.498
OG0004156,45,44,18,17
OG0004157,198.097,168.439,321.001,126.992
OG0004158,535.94,432,794.271,363
OG0004160,1147.51,1283.568,761.256,1346.683
OG0004161,404.505,371.115,679.307,245
OG0004164,410.609,405.028,671.512,274
OG0004166,1089.288,1256.822,428.198,1162.026
OG0004167,557.539,693.568,980.022,533.628
OG0004168,97.192,77,149.004,47.986
OG0004169,436,380.864,752.029,365
OG0004170,271,341.76,177,288.041
OG0004171,1,4.194,13.121,2.008
OG0004172,94,109.079,93.584,132.522
OG0004174,3240.719,2992.519,1348.247,5924.284
OG0004175,281,287.521,597.222,258
OG0004177,413.127,286,593.295,233
OG0004178,293.466,371,53,312.157
OG0004179,786.146,1035.874,1762.748,864.998
OG0004180,168,132,218,58
OG0004181,244,317.386,677.265,379.17
OG0004182,2,1,5,4
OG0004183,365.002,419,65,543
OG0004184,944.814,1273.585,654.559,1404.799
OG0004185,1006.656,1409.907,503.898,1686.851
OG0004186,552.998,588.501,1040.636,453.857
OG0004188,9,29,24,5
OG0004189,3,5,5,28
OG0004190,59.31,89,154.998,62.026
OG0004191,218.973,236.634,402.255,179
OG0004192,290.392,344.118,661.748,320
OG0004193,584.27,1838.681,174.005,508.682
OG0004194,255,172,110,308.666
OG0004195,10041.984,9476.123,5955.448,9299.697
OG0004196,442.998,261.08,149,376.998
OG0004197,354,350.923,86,598.371
OG0004198,89,59,30.166,81
OG0004199,322,276,437.997,176
OG0004200,294,359,683,505
OG0004201,11,11,18,14
OG0004202,516.479,459.313,819.047,472.391
OG0004203,965.868,1079.98,559.091,635.183
OG0004204,173,197,319.966,175.847
OG0004205,1135,1340.728,588,1913.884
OG0004206,1139.679,1530.524,766.907,2988.058
OG0004207,3,1,2,1
OG0004210,146,183.118,338.956,190
OG0004212,213,339,568.365,297.251
OG0004213,652.982,448,232.001,804.007
OG0004214,339.016,243.194,394.789,151
OG0004215,303.903,189.997,106,342.75
OG0004218,1181.889,1046.515,639.832,987.411
OG0004219,790.015,750.998,309.095,798
OG0004221,2250.36,2693.67,1187.11,3055.383
OG0004222,345,467.068,756.701,294.081
OG0004223,44.086,55,94,26
OG0004224,109,142,233,125
OG0004225,125.051,74,31,89
OG0004226,83,109,20.052,53
OG0004228,42,44,37,63
OG0004230,104,87,44,126.004
OG0004231,547.353,470.786,168,812.776
OG0004232,0,0,0,22
OG0004233,40.977,80,42,37
OG0004234,324.518,286,240.986,282
OG0004235,556.361,323.998,156,724.945
OG0004236,71,79.999,130.057,49
OG0004238,10,34,7,3
OG0004239,227.003,216.375,117,140
OG0004241,94,79,204,96
OG0004242,163.084,103.805,32.298,71.256
OG0004244,242.033,322,444.45,233.998
OG0004245,93,111.999,46,166.985
OG0004246,145.268,107.095,246.02,138.144
OG0004247,15,24,78,32
OG0004248,3914.587,2466.836,842.742,9926.007
OG0004249,524,455,180,538
OG0004250,798.022,747.252,1243.319,593.388
OG0004251,313.998,375,595.163,295.391
OG0004252,126,131,320,109
OG0004253,1135.736,1102.045,503.376,1653.833
OG0004255,574.4,493.025,1061.991,389.013
OG0004256,208,212,444.616,164.062
OG0004257,690.582,796.819,1274.035,796.287
OG0004258,5,14,1,10
OG0004259,41,62,128,58
OG0004260,767.798,808.648,1418.113,720.564
OG0004261,48,9,5,17
OG0004262,241.27,187,29,414
OG0004263,1674.583,1451.824,2695.909,1082
OG0004264,102.171,121.209,233.327,77
OG0004265,508,658.507,501,778
OG0004266,179,162.809,80,186
OG0004270,540.127,373.353,214.279,370.978
OG0004271,21,7,1,84
OG0004273,227.002,202.011,408.555,158
OG0004274,765.729,755.21,371.246,1048.668
OG0004275,298,344.003,177,322
OG0004276,83.694,29,107.605,29
OG0004277,182,202,96.98,290.827
OG0004278,1102.387,1360.179,592.99,2357.727
OG0004279,108,145,271.034,134
OG0004282,25.999,66.979,29.079,46
OG0004283,371.466,378.223,449.647,175
OG0004284,122,100,181,62.128
OG0004285,387,276,168,400.955
OG0004287,16,16,7,24
OG0004288,889.837,1780.834,903,1274.084
OG0004290,747.844,736.033,203,1587.8
OG0004292,1,2,3,8
OG0004293,1,1,0,0
OG0004295,170,343.203,207.07,271.642
OG0004296,309,148,68,241
OG0004297,10,5,14.399,4
OG0004298,528,423,275,420
OG0004300,205.177,113.284,68.559,163.685
OG0004301,24,19.462,46,21
OG0004302,137,133.002,45,103
OG0004303,153,172.997,360.044,123
OG0004304,180,155.352,122.991,223.756
OG0004305,691.304,670.544,449.002,711.632
OG0004306,233,172,194.174,85.284
OG0004307,90.384,101.005,133,75.411
OG0004308,403,522.787,248,408
OG0004309,357.373,344.365,251.468,443.668
OG0004310,183.095,670.227,1115.76,538.957
OG0004312,181,93,54.991,93
OG0004314,40.983,52,30,47.001
OG0004317,791.82,646.666,367.231,1535.522
OG0004318,719,646,301.002,788
OG0004319,79,64.608,11.043,65
OG0004321,191,266.907,510,225
OG0004322,37,23,26,54
OG0004324,106,131.124,39,114
OG0004325,179,303.001,145,239.994
OG0004326,326.271,202.006,399.011,315.712
OG0004327,11,6,1,3
OG0004328,626.103,631.288,1079.763,483.099
OG0004329,570.899,659.894,569.087,556
OG0004330,120.994,78,38,156.835
OG0004331,5056.191,5697.439,4087.716,7607.952
OG0004334,183.08,141.696,77.086,137.874
OG0004336,775.011,580.996,370.483,832.054
OG0004337,841.001,1047.687,305.381,672.689
OG0004338,87,73,42,123
OG0004339,72.014,97,53,156
OG0004340,323,361.493,139,239
OG0004342,993.448,974,471.594,1248.69
OG0004343,33,96.448,33,173.001
OG0004344,250.45,185.509,237.82,245.421
OG0004345,262,385.988,361.689,879.95
OG0004346,16,26.018,16,32.8
OG0004347,250.974,381.761,163,325
OG0004349,5,8,1,11
OG0004351,46,72,21,56
OG0004353,2155,2815.351,1303.829,2552.395
OG0004354,383.483,569.771,337.225,850.441
OG0004355,40,54.988,86,82
OG0004356,1359.028,1547.195,973.352,1574.144
OG0004357,7,8,24,7.11
OG0004358,786.475,801.425,367.383,785
OG0004359,26,29,62,49
OG0004360,385.292,323.914,694.833,345.269
OG0004361,550,436.03,131.097,562
OG0004362,3580.629,3922.576,2027.188,4044.157
OG0004363,52.921,71,26,89
OG0004365,247.953,172.512,109,217
OG0004366,64,68.996,145,63
OG0004367,17,21,29.841,18
OG0004368,90,91,80,235
OG0004369,105,162,82,125
OG0004371,265,339,116.27,383
OG0004372,157,95,49,142
OG0004373,824.368,259.625,88.007,515
OG0004374,408.638,636.779,206.538,586.585
OG0004375,392,426.001,225.814,372.031
OG0004376,524.031,644.24,1455.784,541.999
OG0004377,659,694.676,431.992,674.728
OG0004378,740,883.58,387.529,1057.271
OG0004379,246.412,193.259,403.568,155.702
OG0004380,109.022,205,150,195
OG0004381,1246.45,746.002,377,1217.537
OG0004383,136.156,129.693,85.322,179.613
OG0004384,754.216,511.611,286.822,666
OG0004385,103.678,137.953,53,107.997
OG0004388,838.625,883.622,160.001,763.482
OG0004389,254,294.353,82.001,223
OG0004390,647.217,723.003,335,678.452
OG0004392,101,101.482,206.57,82
OG0004394,945.471,916.273,328,968.064
OG0004395,642.191,1010.287,1289.905,1277.335
OG0004396,192,142,45,137
OG0004397,40,43,8,73.988
OG0004398,387,544.735,267.009,746.851
OG0004400,2011.233,2451.123,1157.923,3254.99
OG0004401,704,646.997,534.151,831.934
OG0004404,467,431,245,448.492
OG0004406,56,62,34,73
OG0004407,490,456,717.836,353
OG0004408,5,34,8,15
OG0004409,314,383.802,96.703,201.011
OG0004410,156.004,195.058,317.181,174
OG0004411,577.114,303,143.001,394
OG0004412,103.081,101.073,187.022,340.456
OG0004413,284,96,51,266.152
OG0004414,201.594,104,202,359
OG0004415,421.337,534.221,661,451
OG0004416,168,131,40.998,142
OG0004418,71,72,38.038,35
OG0004419,3,0,0,9
OG0004420,524,355.004,156,457.072
OG0004424,314,352.017,275,276
OG0004426,44,76,14,25
OG0004427,476.564,249,111.003,337
OG0004428,364.677,374.065,225,402.029
OG0004429,1790.345,2224.164,918.751,3138.686
OG0004430,770.62,308,145.009,889.651
OG0004431,264.999,208,128,624.361
OG0004432,333,255,144,221.42
OG0004434,195.249,272.986,164.106,262.375
OG0004436,128.291,238.26,128.25,151.936
OG0004438,1,4,3,12
OG0004439,78,109.594,245,97
OG0004440,572.482,443,261,793.272
OG0004441,38.019,85,120.623,43
OG0004442,147.004,140,29,192.01
OG0004443,831.129,516.009,1154.592,585.245
OG0004444,233.012,245.001,109,236
OG0004445,159,207,48,2407.422
OG0004447,67,51,31,45
OG0004448,61,47.046,93,47
OG0004449,104,106.965,45,96
OG0004450,653.001,648.417,1146.546,448
OG0004451,465.265,305,578.037,136
OG0004452,5,3,2,1
OG0004453,14,15,23,5
OG0004454,6,3,6,1
OG0004455,359,301.191,181.223,378
OG0004456,651.74,517,233,482.216
OG0004457,247,326,460.489,205.05
OG0004458,8,8,4,47
OG0004459,408.012,301,131,300
OG0004460,836,1050.939,2012.074,1028.833
OG0004461,163.032,199,61,194
OG0004462,113,228.248,80,269
OG0004464,31,39,73,23
OG0004465,312,272.497,427.403,242
OG0004466,591.335,487.884,281,616.264
OG0004468,224,338,110,516.902
OG0004469,334.128,273.375,139.998,294.007
OG0004470,7,9,0,7
OG0004472,788.403,789.051,1261.897,539.91
OG0004473,137.109,117.388,294.014,119
OG0004474,116,239,136,13
OG0004475,714.192,473.348,931.299,286.137
OG0004477,609.026,460.003,309.11,436
OG0004479,694.18,695.029,1236.041,484.226
OG0004482,150,149.984,50,146
OG0004483,266.006,210.09,96,195.048
OG0004484,637.506,801.679,1479.773,679.227
OG0004485,60.219,58.798,113.296,54.637
OG0004486,121,100,150,66
OG0004490,33,36,69,34
OG0004491,71,89,188.062,64
OG0004492,70,71,29,45
OG0004493,751.07,605,316.265,821.99
OG0004494,279.274,320,119,354
OG0004496,103.112,121,218.126,87.994
OG0004500,19.283,21,9,97
OG0004501,191.996,261,73,180
OG0004502,893.095,998.964,579,978.033
OG0004503,152,176,77,174
OG0004504,1943.855,2093.039,3441.664,1717.959
OG0004505,1412.527,1676.118,525.261,1523.367
OG0004506,1,2,0,2
OG0004508,62,101.949,130,88
OG0004509,51,80,75,125
OG0004510,48,139,63.998,159
OG0004511,153,229.384,226.67,285.998
OG0004513,3518.415,3326.306,6508.271,2953.006
OG0004514,638.517,559.519,217.325,1032.579
OG0004516,1972.708,1694.812,1000.725,3493.296
OG0004518,10,4,2,9
OG0004519,634,720,522.762,854
OG0004521,169.087,105.327,35,89.492
OG0004522,1723.479,2808.776,1529.397,3122.277
OG0004523,128,93,29,92
OG0004524,263.167,210,156,272
OG0004525,657.289,492.535,173,996.001
OG0004526,270,501,179.241,1060.463
OG0004527,140,144,133,431.205
OG0004528,29.18,55,20,47
OG0004529,6960.087,6757.455,5358.475,10124.737
OG0004530,151,211.734,80,159
OG0004531,1053.956,848.279,366.021,1062.334
OG0004532,1203.939,816.077,405.683,839.993
OG0004535,697.379,372.717,239,790
OG0004536,335,275.178,170,227
OG0004537,140.971,168.721,99.994,153.742
OG0004538,623.725,642.63,253.524,920.737
OG0004539,109,76,51,72
OG0004540,110,122.981,54,102
OG0004541,6,9,1,21
OG0004542,514,531.866,256.133,646.598
OG0004543,3615.937,3713.88,1438.199,10630.333
OG0004544,1108.85,1102.872,1866.509,1009.292
OG0004545,542,297.216,338,615.404
OG0004546,344.002,309,591.627,234
OG0004548,80,82.133,200,73
OG0004549,365.971,1141.046,255,4102.79
OG0004550,3853.681,4403.667,7326.485,3810.216
OG0004552,750.467,868.007,356,1004.986
OG0004554,1091.003,1450,2371.004,1250.025
OG0004556,10,16,29,16
OG0004557,776.669,558.013,313.457,854.582
OG0004558,3456.916,2469.518,1632.807,4940.921
OG0004559,172.024,131,91,130
OG0004560,635.95,947.496,486.659,817.002
OG0004561,2278.575,1150.004,684.041,2482.044
OG0004563,178,131,230,93.508
OG0004564,629.857,536.604,213.026,835.45
OG0004565,0,0,23,22
OG0004566,54,63,113.071,42
OG0004567,805.224,757.82,375.88,819.006
OG0004568,439,325,162,529.194
OG0004569,12.86,15,18.342,21.098
OG0004570,881.613,764.615,514.689,868.813
OG0004571,986.946,811.764,1671.835,694.064
OG0004572,167.674,183.118,77.328,144.548
OG0004573,102.304,144.517,229,73
OG0004574,73.75,56.41,10.5,88.221
OG0004576,79.982,82.939,138,60
OG0004577,213.425,242.861,316.419,198.66
OG0004578,17,3,7,13
OG0004579,15,25,5,12
OG0004580,11,38,33,20
OG0004581,1818.774,1790.481,924.808,2397.717
OG0004583,296,282.001,112,238.049
OG0004584,240.026,344,111.817,656.544
OG0004585,1,2,0,11
OG0004586,418.979,461.091,254.002,737.071
OG0004589,408.003,473.788,202.771,473.001
OG0004590,128.995,70,38,156.004
OG0004592,416.798,356,383.222,348.001
OG0004593,952.642,700.948,389.609,986.603
OG0004595,303.002,207,97.053,140
OG0004597,809.639,1089.25,425.012,960.615
OG0004598,299,313.928,261,348
OG0004599,226,295,139.064,313.013
OG0004600,113,142,284,107
OG0004601,636.558,453.343,124,430
OG0004604,890,935.918,697,1037.009
OG0004605,471.006,532.004,99,1023.679
OG0004606,108,369.013,164,442.999
OG0004608,41,80,46,91
OG0004609,2499.158,2448.957,871.818,2583.23
OG0004610,1902.531,2089.521,862.528,2532.434
OG0004611,50,67,6,50
OG0004612,719.001,710,262,1020.087
OG0004613,472.449,612.635,285.673,714.459
OG0004614,732,720.934,407,688.425
OG0004618,122,127.004,60,123
OG0004619,461.672,421.954,124,203.223
OG0004620,915.747,870,432.994,1103.848
OG0004621,1425.284,1559.548,2361.276,1740.694
OG0004622,1160.494,1142.584,582,1504.328
OG0004623,235,220.168,399.085,162
OG0004624,233.748,205.926,191.884,268
OG0004626,834.49,852.002,390.601,1097.777
OG0004627,555.014,598,316.942,700.8
OG0004628,802.369,741.043,445,569.8
OG0004629,1,0,0,1
OG0004630,65,52,150,61
OG0004631,913,779.878,284.001,771.542
OG0004632,439.697,438.104,123.639,356.461
OG0004633,464.63,436.584,209.001,439.576
OG0004634,172,111,75,227.35
OG0004635,325.39,345.85,182.654,412.311
OG0004636,257.561,227,133.871,414.999
OG0004638,343.686,379.462,167.844,320.337
OG0004639,588,552.001,207.369,992.261
OG0004640,495.981,459,912.629,413
OG0004641,1747.516,1614.798,608,1875.509
OG0004642,320,305.999,85,324.127
