OG,Ofav_1,Ofav_2,Ofav_3,Ofav_4
OG0000179,771.247,344.627,58,936.798
OG0000180,5159.986,4363.806,2410.486,6750.432
OG0000181,9417.182,10608.612,7942.247,14270.41
OG0000182,11455.06,14798.978,9478.178,16845.564
OG0000183,0,7,0,5
OG0000184,2232.404,2653.799,3985.348,1956.739
OG0000186,520.001,299,187,300.001
OG0000189,285.322,206.432,624.858,1426.453
OG0000190,1,2.999,0,4.033
OG0000191,2620.03,2215.129,1341.689,1982.048
OG0000193,192.001,215,192,267.217
OG0000194,3264.46,2615.066,1380.181,3840.658
OG0000195,373,162.002,65,125
OG0000196,43,85.58,38,52
OG0000197,580,784.101,1300.118,1200
OG0000198,549,639.997,541.061,818.848
OG0000200,4.001,2,1,1
OG0000201,47,45,73,204
OG0000202,107,122.11,86,148
OG0000203,271.02,301.942,586.29,399.086
OG0000204,29,12,4,16
OG0000205,1,10,3,4
OG0000207,405.13,442.987,241,748.095
OG0000208,159.993,46,36,109
OG0000209,9194.358,13740.338,11637.49,16624.35
OG0000210,41,35,25,14
OG0000211,35.052,35.025,93.75,28
OG0000212,1196.208,962.722,1743.662,704.828
OG0000213,90,116,44,67
OG0000214,69,47,56,157.006
OG0000215,7,3,5,30
OG0000216,7954.105,9702.526,5612.849,12488.34
OG0000217,2600.65,2471.199,2065.469,2974.242
OG0000218,2484.56,792.016,647.409,1275.868
OG0000219,3173.106,2202.656,4224.053,1793.239
OG0000220,11593.556,14883.111,8898.678,16142.658
OG0000221,25,10,8,10.904
OG0000222,575.57,272.2,117.768,376.255
OG0000223,1854.736,1631.705,3009.704,1432.26
OG0000225,152.009,186.467,240.057,133.686
OG0000227,1713.99,2112.049,858,3999.662
OG0000228,112,203.163,67,263
OG0000229,814.366,876.002,657,1162.814
OG0000230,1940.573,2125.138,531.158,1182.325
OG0000231,13,0,0,5
OG0000232,16,0,0,2
OG0000234,36.388,151.75,53.281,175.906
OG0000235,3508.461,3338.677,953.588,5987.647
OG0000236,1372.399,2025.495,838.044,1828.237
OG0000237,152.098,91.521,254.814,110.536
OG0000238,1,12,7,6
OG0000239,11885.85,11023.815,20641.453,10553.252
OG0000240,1656.01,1575.738,2821.017,1155.675
OG0000241,242,242,133,352
OG0000242,1164.256,1057.336,1797.053,694.021
OG0000244,357,454,177,311.092
OG0000245,487.883,559.576,1117.581,534.614
OG0000246,23,42,18,36
OG0000247,974.175,884.09,231.006,729
OG0000248,12550.03,17049.927,11156.268,20353.753
OG0000250,288,346,141,320.526
OG0000251,44,197,35,192
OG0000252,1866.796,1786.867,3419.013,1298.662
OG0000253,92,142,48,112
OG0000254,4655.464,5134.634,2411.796,14908.468
OG0000255,159.068,974.444,967,584.579
OG0000256,612.474,234,78.015,181
OG0000257,3738.544,3704.282,2468.731,4003.18
OG0000258,46,26,14,39
OG0000259,140,78,36,172
OG0000260,191.122,64.724,17,62
OG0000262,98,117,30,261.677
OG0000263,0,1,3,0
OG0000264,6.898,6,2,5
OG0000265,428.565,497.799,801.139,340.994
OG0000266,46,33.164,8,25
OG0000267,3,2,3,4
OG0000268,3,6,1,6
OG0000269,1685.106,1518.183,2573.34,1135.297
OG0000271,8044.107,7912.324,4616.023,10262.532
OG0000272,63,50,15,57
OG0000275,141.814,177,322.509,380.475
OG0000276,1140.172,1186.279,421.012,1156.445
OG0000277,65,41.999,134.275,50.008
OG0000278,1755.965,2165.681,869.462,1966.063
OG0000279,1,0,0,3
OG0000280,2,9,6,11
OG0000281,91,61,21,49.246
OG0000282,92,202,14,60.483
OG0000284,31,5,0,6
OG0000285,93,144,69,102
OG0000286,4866.388,4351.464,5045.838,3531.557
OG0000288,499.4,197.431,122,1511.083
OG0000289,1166.562,789.681,1066.501,2328.514
OG0000290,6240.437,6402.781,12400.288,5727.031
OG0000291,3,0,1,4
OG0000297,3127.995,3665.029,5950.392,2698.244
OG0000299,3173.873,2699.966,756.854,2239.371
OG0000300,1507.279,1272.739,2636.372,998.033
OG0000301,9,8,4,9
OG0000302,5606.138,5335.633,2912.187,10421.624
OG0000303,8,18,9,22
OG0000304,1980.234,1425.496,2693.424,1047.029
OG0000305,454.491,488.22,726.654,354.725
OG0000306,12,33,40,134
OG0000307,11814.064,16349.816,8592.472,22819.973
OG0000308,387.999,462,73,262.226
OG0000309,0,1,0,1
OG0000310,9952.257,13208.374,6253.709,12231.25
OG0000311,1332.865,2006.461,3466.342,1830.834
OG0000312,1212.831,1428.262,684.708,1366.112
OG0000313,35,73,112.948,126
OG0000314,243.998,137.349,44,169.978
OG0000317,445.043,406.818,851.719,415.73
OG0000318,652,480.281,248,570.101
OG0000320,2967.484,2193.687,2271.21,2215.81
OG0000322,30,21,3,7
OG0000323,835.187,1248.296,2184.723,961.471
OG0000324,10886.085,12606.984,8340.884,15598.95
OG0000325,8950.629,11086.388,7806.709,14498.663
OG0000326,12.016,14.465,7,2.261
OG0000327,111,103,23.021,90
OG0000328,47,44.471,30.14,71.465
OG0000329,14,28,8,26
OG0000330,16,12,5,23
OG0000331,484,182,148.048,418
OG0000332,194.447,445.28,224,550.999
OG0000333,13,14,8,18.216
OG0000334,9854.359,10957.493,7590.247,15055.434
OG0000335,164,150.556,289.067,99
OG0000336,63.512,68,132.487,52
OG0000337,5948.158,7585.293,4013.604,7993.143
OG0000338,2050.254,2229.355,4119.753,1816.556
OG0000339,5177.225,4606.321,3018.821,8562.578
OG0000341,10,17,1,5
OG0000343,3517.31,3838.405,6644.25,3118.345
OG0000344,236,279,417.11,163.813
OG0000345,7499.57,8446.835,5775.954,10485.072
OG0000346,595.096,1031.182,1510.404,749.256
OG0000347,4198.039,2538.746,2333.799,4401.235
OG0000348,19,13,8,39
OG0000349,3880.853,7305.649,3092.789,5517.247
OG0000350,4579.07,5264.804,9577.488,4839.06
OG0000351,845.841,545,395.872,1338.244
