OG,Past_1,Past_2,Past_3,Past_4
OG0000164,329.641,361.204,551.017,1738.399
OG0000165,220,656.526,425.994,1850.246
OG0000166,3670.202,8409.302,3545.344,14743.125
OG0000167,1,2,1,4
OG0000168,85.106,161.895,81.999,453.014
OG0000169,3,0,15,72
OG0000170,2363.002,4967.077,3849.326,12460.775
OG0000171,6,17.009,25,3
OG0000172,571,1030.632,1129.051,2077.704
OG0000173,1,7.005,4,15
OG0000174,580.999,1381.454,1047.298,3737.487
OG0000175,68,134.869,123,1248.589
OG0000176,34,91.199,82.911,233.264
OG0000177,516.533,2170.952,971.009,5568.307
OG0000178,1,1,2,16
OG0000179,68,369.136,262.027,700.579
OG0000180,1321.036,3395.579,2060.249,7100.101
OG0000181,2238.137,6111.282,2251.479,7318.408
OG0000182,2306.023,6139.236,2598.764,10512.815
OG0000183,104,279.585,201.021,755.387
OG0000184,773.311,1917.19,1413.917,2779.69
OG0000185,624.139,797.932,905.988,2626.082
OG0000186,1435.966,1862.636,2706.025,13058.71
OG0000187,0,0,0,0
OG0000188,77,107.779,115.04,367.143
OG0000189,31,86.744,88,329.041
OG0000190,23,34.003,92,137
OG0000191,1264.048,2073.756,1712.955,5592.203
OG0000192,302,500.87,348,1197.983
OG0000193,38,59.413,26,128.868
OG0000194,1118.129,2634.889,1795.344,6623.802
OG0000195,98.987,153.374,133,2446.254
OG0000196,789.003,2571.668,780,2640.238
OG0000197,4830.511,14509.793,4939.676,19020.177
OG0000198,184.649,296.322,250.246,1005.196
OG0000199,76,117.38,91,477
OG0000200,12,31.93,14,21
OG0000201,330,681.049,789,1079.294
OG0000202,57,90.429,47,238.648
OG0000203,3533.169,8349.626,3716.81,10394.534
OG0000204,151,248.478,147,523
OG0000205,200,437.935,35,985.996
OG0000206,293.948,325.803,386.183,1125.3
OG0000207,180,328.997,217.891,659.862
OG0000208,10,29.723,17,212.71
OG0000209,2427.951,5910.38,2511.687,10378.93
OG0000210,44,95.475,59,143
OG0000211,2,9.09,0,9.041
OG0000212,13,26.175,23,97.007
OG0000213,422,1197.664,717.999,1972.063
OG0000214,1137.001,3642.447,2970.222,4047.679
OG0000215,932.067,2623.666,479,2931.414
OG0000216,2257.94,6846.276,2290.415,7156.041
OG0000217,823.71,2060.714,1807.258,4623.686
OG0000218,202.197,227.358,218.003,1399.841
OG0000219,1,1,6,38
OG0000220,3673.43,8373.47,3616.622,14711.413
OG0000221,0,7.039,0,0
OG0000222,121,597.927,245.005,1369.788
OG0000223,387.155,895.325,658.138,911.084
OG0000226,1057.835,2295.151,1353.02,3776.591
OG0000227,342,662.885,442,1963.38
OG0000228,54,260.447,181,520.494
OG0000229,546,920.192,917.911,1997.36
OG0000230,254,751.169,423,4812.799
OG0000231,6,5.003,3,22
OG0000232,508,646.659,555,2233.385
OG0000233,130,232.203,203,1110.397
OG0000234,70,88.368,68,323
OG0000235,344,814.162,662.527,2374.161
OG0000236,464,925.9,801.6,3228.323
OG0000238,144,220.597,238.302,1250.829
OG0000239,860.456,2630.576,1659.035,2897.275
OG0000240,11,33.117,13,109.977
OG0000241,4179.642,11156.595,4968.183,18478.709
OG0000242,1,11.537,2,20.375
OG0000243,344.065,826.938,154,1393.844
OG0000244,120.975,109.955,158,185.892
OG0000245,114,150.256,150.262,989.61
OG0000246,41,87.061,57,948.611
OG0000247,18753.252,49736.547,12418.627,54474.163
OG0000248,3099.336,9259.338,3451.249,10230.972
OG0000249,0,4.004,8,14.995
OG0000250,120,383.373,261,858.082
OG0000251,374.855,141.839,564.005,931.137
OG0000252,66.542,165.273,129.013,349.672
OG0000253,111,194.188,215,610.772
OG0000254,645.016,2139.134,2369.798,17231.806
OG0000255,129,374.867,255,551.002
OG0000256,1704.201,2784.789,843,2559.399
OG0000257,1066,2447.936,1914.049,6658.331
OG0000258,305,290.495,406,2408.577
OG0000259,90,233.27,231.029,1211.451
OG0000260,155.197,243.642,188.008,365.734
OG0000261,0,1,1,1
OG0000263,771.111,1404.586,540.136,1337.539
OG0000264,44,25.044,4,77
OG0000266,172,207.835,409.061,42
OG0000267,49,24.092,37.004,57
OG0000268,227,574.352,335.033,1014.945
OG0000270,122,130.815,128,233.209
OG0000271,1329.143,3634.906,1828.368,9352.385
OG0000272,58,80.74,72,79
OG0000273,19,9.001,8,76
OG0000274,33,33.169,1,70
OG0000275,2124.866,6246.645,2037.649,7358.032
OG0000276,517,1387.199,891.017,2874.492
OG0000278,217,121.176,314.047,306
OG0000279,2950.005,4295.205,4122.003,8236.932
OG0000280,198,182.691,101.008,916.001
OG0000281,194,572.248,334,768.406
OG0000282,119,331.973,540.138,1885.01
OG0000283,4,15.084,1,2
OG0000284,210,215.439,188.948,508.03
OG0000285,46,66.896,126,551.917
OG0000286,625.36,1428.53,758.172,2402.559
OG0000287,85,200.996,158,750.999
OG0000288,18.082,32.059,48,189
OG0000289,85,100.016,103.091,361.53
OG0000290,457.823,1275.19,805.18,2431.46
OG0000291,5,4,6,7
OG0000292,276,513.014,430,1476.941
OG0000293,967.231,1653.545,880.253,9900.532
OG0000294,447,297.922,598.377,1248.881
OG0000296,0,0,0,5.815
OG0000297,127.634,247.986,227.893,488.793
OG0000299,2848.063,7534.436,4493.175,12997.24
OG0000301,70,131.615,68,745.605
OG0000302,2148.169,4758.142,3119.806,7133.616
OG0000304,63,70.597,73,229.824
OG0000305,11,21.006,9,49
OG0000306,87,229.288,187,591.826
OG0000307,2437.87,17510.211,16246.243,28668.784
OG0000308,39,136.197,41,187
OG0000309,197,202.254,117.061,577
OG0000310,3383.791,7330.502,2856.84,11059.408
OG0000311,141,274.737,224.521,640.696
OG0000312,197,330.637,371.167,1358.62
OG0000313,34,38.201,69,195.234
OG0000314,1117,2768.175,2059.779,6109.226
OG0000315,69,150.861,130.472,158
OG0000316,1601.001,2841.737,1754.622,1550.058
OG0000318,234.289,792.774,553,1765.206
OG0000319,142,137.315,92,296
OG0000320,809.008,2027.906,1984.672,4309.293
OG0000321,106,258.178,123.284,321
OG0000322,4690.352,6750.91,6652.494,18215.799
OG0000323,40,63.579,59.608,229.623
OG0000324,3912.112,11037.414,3944.088,16102.448
OG0000325,2790.627,6974.054,2890.821,12815.944
OG0000326,49,299.462,34,431
OG0000327,61,242.651,133,559.344
OG0000328,3,26.4,10,46
OG0000329,44,65.607,44,178.042
OG0000331,828.028,793.786,754.998,1038.996
OG0000332,8,29.018,20,15
OG0000333,713.025,756.64,1299.049,2590.577
OG0000334,3631.317,9320.26,3647.254,14654.571
OG0000337,2047.095,4504.811,1615.377,6912.219
OG0000339,1088.017,4439.247,2216.523,7526.654
OG0000340,271,261.505,272.001,1053.352
OG0000341,7,6,4,9
OG0000342,15,49.978,51.99,121.762
OG0000343,86.995,79.566,83,256.948
OG0000345,1870.085,4440.168,1761.488,7041.526
OG0000346,34,61.592,64.961,217.135
OG0000347,2095.015,5420.793,2502.702,6519.322
OG0000348,4,4,2,1
OG0000349,1247,2257.107,1922.678,9480.986
OG0000350,81.355,128.313,72.152,555.867
OG0000351,501,1873.115,1322.385,2762.775
OG0000352,831.019,1821.495,2054.595,8504.126
OG0000353,8,7,16.901,26
OG0000354,33,128.807,45,183
OG0000355,1790.429,5525.92,1840.131,6038.699
OG0000356,495.012,1072.783,717.486,3609.24
OG0000357,55,70.034,57,308.047
OG0000358,2949.991,7711.848,5374.892,12768.32
OG0000359,161,369.624,430,2531.175
OG0000360,124,370.031,103,3324.415
OG0000361,60,147.066,104,322.444
OG0000363,88,213.602,88.51,363.585
OG0000364,16,51.857,24,204.916
OG0000365,220,527.963,358,1360.804
OG0000366,896,1978.407,723.066,5193.486
OG0000367,2502.746,6476.921,2756.357,10426.555
OG0000368,587.385,422.554,632.97,2286.277
OG0000369,22,39.23,26,107
OG0000370,103,172.151,100,2008.464
OG0000371,10,34.13,3,1
OG0000373,1924.246,4196.901,1715.543,6122.09
OG0000374,2224.831,5365.643,2069.448,7919.759
OG0000375,256,281.402,352,2329.128
OG0000376,29,48.654,43,89
OG0000378,9,8.004,25,179.091
OG0000379,3789.017,9937.979,3934.91,16262.372
OG0000381,269.861,575.11,414.843,1224.779
OG0000382,244,560.226,454.916,2179.435
OG0000383,167,436.131,286,1212.751
