OG,Ssid_1,Ssid_2,Ssid_3,Ssid_4
OG0000216,10996.732,11828.122,7763.654,7138.989
OG0000217,2769,4113,1602.884,2213.019
OG0000218,2016,1217.403,1107.648,747
OG0000220,17782.625,19198.137,12230.788,14887.038
OG0000221,487,721.198,230,70
OG0000225,35,35,58,41
OG0000226,416,190,178,543.053
OG0000227,417,490,468,443
OG0000228,451.1,765,291.001,323
OG0000229,153,139,98,92
OG0000230,402.002,523,265,501
OG0000231,176.014,138,85,96.015
OG0000232,1265.027,307.895,1473,1357.153
OG0000233,480,447,472,407
OG0000234,1366.031,1027.342,543,548
OG0000235,2308.243,5861.666,2248.999,2129.123
OG0000236,3130.001,2957.448,2191,1934
OG0000238,31,45,34,54
OG0000239,0,0,0,0
OG0000241,1501.025,1956,788,1507
OG0000242,0,0,1,0
OG0000243,952.999,1410.183,388,675
OG0000244,339,418.995,267.986,325
OG0000246,203,584,337,313
OG0000248,17085.934,18501.251,11738.933,13894.135
OG0000250,671,1058.026,440.924,424
OG0000251,77,105,68,124
OG0000254,6545.871,6720.718,4007,4457.882
OG0000255,351.023,368.998,524,364
OG0000256,318,292,87,285
OG0000257,2319.803,2769.439,1439.639,1598
OG0000259,1114,2134.947,1024,829
OG0000260,84,84,94,52
OG0000262,135,250,116,148
OG0000263,289,2087.864,169,1118.119
OG0000264,4,8,6,9.327
OG0000266,6,0,1,0
OG0000267,12,9,19,11
OG0000270,162,224,117,118
OG0000271,8955.738,14149.391,7606.3,8746.831
OG0000272,111.014,108,90,33
OG0000273,1443.001,1367.06,1079.974,1189.968
OG0000274,60,92,41,74
OG0000276,2518.049,2521.554,1730.958,2298
OG0000279,933.348,737,299.9,755
OG0000280,58,43,35,36
OG0000281,212,244,236.227,284.19
OG0000283,15,8,12,7
OG0000284,204,136,114,167
OG0000285,500,111,34,47
OG0000286,2415.307,3314.492,1536.008,1705.828
OG0000287,0,3,10,8
OG0000288,1234,940.145,722.088,697.945
OG0000289,0,2,0,5
OG0000291,71,72,91,89
OG0000297,0,0,0,0
OG0000299,7127.003,7792.996,4948.23,5212.851
OG0000300,130,153,320,236
OG0000301,14,47,51,13
OG0000302,4876.123,7717.911,2750.995,3949.715
OG0000303,30,46,42,76
OG0000304,3,0,0,0
OG0000305,5,12,13,11
OG0000306,345,360,197,172
OG0000307,15679.576,40044.155,23454.801,18325.223
OG0000308,312,166,148,120
OG0000309,135,207,35,66
OG0000310,13868.775,16892.39,10394.646,9538.07
OG0000311,61,6,2,0
OG0000312,771.191,878,969.002,740
OG0000314,828.006,893.723,489,607
OG0000315,287,275.999,454.001,206
OG0000318,9,16,10,14
OG0000319,14,25,18,85
OG0000320,2000,1994.007,1004,1517
OG0000321,67,2448.903,58,51
OG0000322,3590.737,5340.004,3892.058,2885
OG0000323,0,0,0,0
OG0000324,16793.625,20708.705,13925.979,13493.833
OG0000325,13521.604,16592.507,9692.537,10841.294
OG0000327,129,108,55,101
OG0000328,266,487,120,115
OG0000329,2,0,6,6
OG0000331,363,232,209,179
OG0000332,91,134,83,140
OG0000333,88,252.01,45,36
OG0000334,11970.977,14833.161,9745.447,11416.882
OG0000335,26,32,94,53
OG0000337,10414.203,13155.842,8401.546,7798.016
OG0000339,9324.091,12891.813,7471.045,5838.086
OG0000340,365,259,115,224
OG0000341,0,0,0,1
OG0000344,30,31,48,53
OG0000345,11011.035,13956.082,8445.672,11300.533
OG0000346,60,63,44,42
OG0000347,1,0,0,0
OG0000348,188,130,70,72
OG0000349,5311.484,5460.819,3120.451,3352.03
OG0000350,0,0,0,0
OG0000351,1232.204,1657,1016.003,973
OG0000352,3524.352,2720.004,3024.318,2628.656
OG0000353,7,24,12,7
OG0000354,28,43,15,32
OG0000355,6081.924,6215.966,4150.502,4705.753
OG0000356,4442.032,3954.742,3366.271,3564.301
OG0000359,14,3,1,4
OG0000360,801,717,98,132
OG0000361,46,153,58,116
OG0000362,224,279.383,167,297.001
OG0000365,186.782,270,106,138
OG0000366,306,300,219,271
OG0000367,11172.258,15397.471,8885.102,10998.523
OG0000369,856,497,478,604
OG0000371,56,36,13,24
OG0000373,0,0,0,0
OG0000374,8948.524,8695.009,5662.48,6298.426
OG0000376,14,6,16,8
OG0000378,105,95,122,80
OG0000379,13754.732,16607.687,8909.338,10680.828
OG0000382,1326.997,1971.247,1049.327,1254
