OG,Ssid_1,Ssid_2,Ssid_3,Ssid_4
OG0004537,442.002,565,332.129,388.878
OG0004538,726.942,880,519,595
OG0004539,52,83,35,46
OG0004540,88,99,71,69
OG0004541,315.932,376,291,251
OG0004542,458,694,321,382.066
OG0004543,2167.002,5204.123,2010.987,2066.772
OG0004545,95.978,91,50.001,65
OG0004548,364,314,175,164
OG0004549,106,309,96,113
OG0004551,954.747,882.966,612,723
OG0004552,266.014,232,179,218
OG0004553,45,66,35,32
OG0004555,0,0,0,0
OG0004556,23,31,6,21
OG0004557,534,765,426.621,519
OG0004559,128,128,107,91
OG0004560,477.226,542,284,438
OG0004561,662.54,1010,631.103,596
OG0004566,82.002,144,85,84
OG0004567,875,1201.657,622.54,799.004
OG0004568,111,237,76,67
OG0004570,461.312,545,251,383
OG0004572,247,434,264,219
OG0004573,973.14,1552.998,726.878,850.475
OG0004574,74,84,24,55
OG0004576,717.637,1022.007,367,412
OG0004577,28,44,16,32
OG0004578,11,13,4,22
OG0004579,144,106,92,120
OG0004580,217,253.006,122,221.012
OG0004581,435,508.041,218,350
OG0004582,1,11,16,3
OG0004583,338,305,207,271.898
OG0004584,1422.998,2618.99,1184.97,1273
OG0004585,2636,3091.875,1285.413,2164
OG0004586,295.001,273,178,225
OG0004589,240,339,189,204
OG0004590,223.992,290,328,249
OG0004591,1561,1724.293,808,785
OG0004592,384.947,523,279.03,274
OG0004593,762,808,343,577
OG0004594,96,78,69,148
OG0004595,422,463,200,332
OG0004596,377,365,249,246
OG0004597,256,469,170,106
OG0004599,268,262,137,151
OG0004600,96.969,186,59,110
OG0004603,353.982,326,195,227.893
OG0004604,702.959,1039,500,574
OG0004605,1098.527,1547,876,1302.704
OG0004606,37,234,120,195
OG0004607,100,86,53,61
OG0004608,167,67,43,43
OG0004609,2009.608,2353,1158,1518
OG0004610,45,14,47,40
OG0004611,101,188,106,105
OG0004612,1211,1515.003,897,1195
OG0004613,287,325,221,254
OG0004614,228,342,172.003,206
OG0004615,41,39,19,16
OG0004616,244,387,155,166.717
OG0004617,107.053,101,64,90
OG0004618,83,253,65,66
OG0004619,398,561.931,238,511
OG0004620,752,805.983,476,780.245
OG0004622,1334,1434.099,796,1215
OG0004623,52,76,134,88
OG0004624,162,243.932,134,101
OG0004626,573.79,730,370.001,467.995
OG0004627,408,576.977,387,364
OG0004628,155,217,94,152
OG0004629,83.946,76,42,41.896
OG0004630,5.303,0,0,0
OG0004631,581.461,578.078,374,331
OG0004632,201,248,125,227.997
OG0004633,208,290.917,167,130
OG0004634,235,279,151,155
OG0004635,473.003,614,346,432
OG0004636,535,701,236,323
OG0004637,151,166,78,111.004
OG0004638,101,139,338.991,107
OG0004639,877,802,420,433
OG0004641,945,1133.062,628,701
OG0004642,187,444,203,159
OG0004643,780.989,737,408,620
OG0004645,278,363,195,239
OG0004646,977.029,907,575,640
OG0004647,182,360,246,268
OG0004648,340.102,405,170,333
OG0004649,793.762,809.655,491.999,650.003
OG0004650,670,633,375,502
OG0004651,36,24,18,11
OG0004652,848,1821.001,547,912.997
OG0004654,2012.414,2826.015,1257.245,1902.216
OG0004655,88,77,45,71
OG0004656,3,1,4,0
OG0004657,277,231,213,216
OG0004658,224,320,177,232
OG0004660,122,186,83,125
OG0004662,7434.786,8084.149,4396.021,5783.945
OG0004663,996.69,1021,690,712
OG0004664,551.006,873.993,750,715
OG0004665,396,524,273.015,330
OG0004666,243,348,172.685,244.014
OG0004668,301.999,399,172,262
OG0004669,95,161,71,94
OG0004670,132,104,89,113
OG0004671,756.471,1082,618.972,689.159
OG0004672,77,99,75,88
OG0004673,43,87,77,26.833
OG0004674,268,354,195,161
OG0004675,40.007,41,13,42
OG0004676,2840.306,3004.918,1843.999,2440
OG0004677,263,218,131,124
OG0004678,65,52,22,38
OG0004679,3672.951,4056.977,1351,2379
OG0004680,590.364,338,396.011,340
OG0004681,370,728,372.006,406
OG0004682,46,77,39,40
OG0004683,148,133,82,168
OG0004684,634.999,1378.945,516,406
OG0004685,51,102,58,313
OG0004686,151,137,123,94
OG0004688,113.486,183,31,92
OG0004689,234,296,174,127
OG0004690,265,273,162,197
OG0004691,482,377,211.152,225.432
OG0004692,85,100,32,63
OG0004694,1378.99,1841.936,953,1269.013
OG0004695,219,240,185,177.322
OG0004696,186,223,134,164
OG0004697,655,537,433,465
OG0004698,204,223,126,137
OG0004700,738.446,1275,578,565
OG0004701,158,266,81,97
OG0004703,464.998,469,238,283
OG0004704,1353,1431,989.941,946
OG0004705,221,255,161,136
OG0004706,556,512,326,248
OG0004707,265.905,518,262,323
OG0004708,546.945,646,418.697,360.377
OG0004709,122,128,45,50
OG0004710,286,242,131,210
OG0004712,220,313,215,195
OG0004713,2380.175,2926.32,1679,2420.329
OG0004715,276,354,174.005,210
OG0004716,256,381,164,190
OG0004717,100,169,83,114
OG0004718,1397.999,1049,470,787
OG0004719,11487.004,21135.22,8376.95,10763.126
OG0004720,1088.333,1429.807,721.002,836.947
OG0004721,155.003,202,144.123,174
OG0004722,25,32,22,21
OG0004723,217,251.014,152,162
OG0004724,97,137,46,73
OG0004726,223,410,131,131
OG0004727,1099.257,1218,816.064,897
OG0004728,379.941,484,252,321
OG0004729,425,503.001,286.982,421
OG0004731,829.991,1101.603,529.067,691.543
OG0004733,417.037,545,402.784,321
OG0004734,13,26,19,14
OG0004736,200,435,146,191.001
OG0004737,40,76,46,31
OG0004738,355.242,408,263,333
OG0004739,383,400,180,234
OG0004740,17,11,7,2
OG0004741,64,78,55,56
OG0004742,804,586,400,662
OG0004743,44,56,49,101
OG0004744,274,307,164,222
OG0004746,533,903.577,450,550
OG0004747,398,544,321,302
OG0004748,868.008,2182.909,596,672
OG0004749,2545,2715,1997,1850
OG0004750,652.556,1094,473.397,471.004
OG0004751,255,472,231,250
OG0004752,27,51,41,31
OG0004753,110,141,91,83.999
OG0004754,459,548,384,360
OG0004755,227,188,144,214
OG0004756,174,312,166.471,203
OG0004757,338,571,286,341.999
OG0004758,217.001,92.041,55,71
OG0004759,660,1036.004,507,528.153
OG0004760,801.485,1232.334,797.824,705
OG0004761,88,74,54,99
OG0004763,182.981,91,61,32
OG0004764,236,289,214,225
OG0004765,385,749,297,182
OG0004766,190,238,163,155
OG0004767,434,505.096,311,280
OG0004769,144.002,171,117,142
OG0004770,2,17,1,0
OG0004771,751,633,450.174,390
OG0004772,1797.272,2601.516,1273.516,1051
OG0004773,353,879,500.106,190
OG0004774,284,417,215.005,221
OG0004775,2477.953,1049,1120.004,1962.624
OG0004776,876.004,807,521.996,567
OG0004777,317,474,250.063,308
OG0004778,149,138,94,102
OG0004779,613,898.638,591,563
OG0004780,125.225,172,108,109
OG0004781,1004,1384.109,762,925.12
OG0004782,27,28,39,29
OG0004783,1293.983,1374.531,1308,1102
OG0004785,171,114,134,124
OG0004786,108.611,183.057,106.998,203.262
OG0004787,132,181,82.001,135
OG0004789,212,455.008,163,217
OG0004790,196.509,204,100,136
OG0004792,167,1306.013,198.015,185
OG0004793,172,243,115,150
OG0004794,537,682,201,175
OG0004795,663,929.366,543,711
OG0004796,308,283,200,185
OG0004797,274,367,240,217.995
OG0004798,229,283,161,167
OG0004799,198,285,167,180
OG0004800,737.057,841,440,480
OG0004801,21,30,2,1
OG0004802,417,570,263,290
OG0004803,1133,1914,841,1124
OG0004804,1163,1673,874,944
OG0004805,166,277,169,206
OG0004806,62.218,73,15,58.487
OG0004807,757.039,1035,805.801,778
OG0004808,129,158.002,122,111
OG0004809,447,442,280,270
OG0004810,362,558,253.003,312
OG0004811,252.013,352,290,214
OG0004812,242,230,122,247.713
OG0004813,588,667,336,427
OG0004815,404,549,268,256
OG0004816,275,404.67,168.985,150
OG0004817,302,604,325.451,284.03
OG0004818,266.022,399,204,186
OG0004819,128.009,104,66,80
OG0004820,420,488,317,250.001
OG0004821,281,390,302,322
OG0004822,132,136,57,97
OG0004823,410,502,660,462
OG0004824,1275.961,1299.922,1031,1258
OG0004825,708,1110,510.331,373
OG0004827,1722,1640,859,1278.003
OG0004828,926,1011.274,680,592.999
OG0004829,203,273,136,101
OG0004830,1045.01,1005.47,754,804
OG0004831,258,267,171,192
OG0004833,603.274,652.368,440,432.003
OG0004834,271,579.971,344.981,181
OG0004835,198,492,135,140
OG0004836,11,14,7,7
OG0004837,211,208,184,135
OG0004838,519,613,380,327
OG0004839,108,83,51,48
OG0004840,4621.679,6584.213,3421,4314.251
OG0004841,704.997,1168,414,501
OG0004842,907,1082.326,535,612
OG0004843,530,527.264,354,495
OG0004844,327.004,394,260,317
OG0004845,2416.659,3587.843,1897,1726.017
OG0004846,275,390,247,243
OG0004847,2354.991,1706.999,1640,777
OG0004848,228,279,12,17
OG0004849,56,232,50.985,104
OG0004850,2146.996,2538,1270,1677
OG0004852,414,257,202,251
OG0004853,18,24,13,35
OG0004854,60,88.102,62,54
OG0004855,999.179,1574.739,868.941,649.002
OG0004856,283,310,175.415,163
OG0004857,33157.87,23601.304,20360.305,22690.298
OG0004858,614,976.501,790,456
OG0004859,617,1682,521,499
OG0004860,249,309,243,300
OG0004861,245.99,292,175,260
OG0004862,516,867,512,558.015
OG0004863,1043,1509.162,766,1111.123
OG0004864,729.777,918.021,479.354,599
OG0004865,208,301,163,185
OG0004866,1112.212,1054,702.007,808.896
OG0004867,443,599,315,292
OG0004868,134,127,105,55.004
OG0004869,1088,1431,924.002,818
OG0004870,728,1023,548,604.998
OG0004871,1479.01,1947.548,1322.487,1409.713
OG0004872,4153.98,5160.468,2540.197,3215.578
OG0004874,617.008,865.125,492,583
OG0004875,128,197,128,121
OG0004876,167,307,190,250
OG0004877,679.425,908,607.527,746.155
OG0004878,2,0,0,0
OG0004882,0,3,3,0
OG0004886,93,99,46,48
OG0004887,172,251,76,83
OG0004889,2,4,1,0
OG0004890,2,4,0,0
OG0004894,9,22,39,17
OG0004896,151.058,407,173,75
OG0004897,438.347,660,330,377
OG0004899,6.523,19.634,24.971,11.247
OG0004900,41,71,168.726,125
OG0004901,9.899,0,4,0
OG0004902,5,4,25,16
OG0004903,1144.879,1422.168,839,1186
OG0004907,2,11,7,6
OG0004908,3,3,9,16
OG0004909,1103.612,1263,622,584
OG0004910,0,8,20,12
OG0004914,0,6.473,1.731,0
OG0004915,0,0,0,0
OG0004916,6,1,0,0
OG0004921,2,3,19,7
OG0004922,32,131,52,55
OG0004923,15,0,0,0
OG0004924,57,118,171,64
OG0004927,871.236,713,370,505
OG0004928,2,0,1,0
OG0004929,404,577,325,214
OG0004930,820,914.998,525.215,770
OG0004931,54,63,48,59
OG0004933,10,0,16,17
OG0004935,71,55,50,41
OG0004937,45.225,146,72,124
OG0004938,0,0,0,0
OG0004939,2,0,3,5
OG0004942,3,7,5,15
OG0004943,17,33,12,19
OG0004945,8,2,8,4
OG0004947,22,42,16,27
OG0004949,375,554.019,272.019,347
OG0004950,32,52,34,23
OG0004951,21,50,26,34
OG0004952,115,176,279.628,260
OG0004954,0,0,0,0
OG0004957,511,688.029,360.985,395
OG0004958,499,452,363,464
OG0004961,30,22,23,26
OG0004963,20,14,5,14
OG0004965,243,192,174,116
OG0004966,295,306,167,195
OG0004967,72,52,15,12
OG0004969,1,0,0,0
OG0004970,9,18,9,13
OG0004971,451,394,294.018,446
OG0004972,0,0,10.954,17.339
OG0004976,967,1185.168,891,853
OG0004981,393.756,364,163,254
OG0004982,369,392,394,302
OG0004983,329,461,383.834,285
OG0004984,69,132,74,106
OG0004987,3,14,10,13
OG0004988,64,82,47,40
OG0004989,18,25,13,18
OG0004990,159,175,56,107
OG0004995,3.628,0,0,0
OG0004996,40,17,44,52
OG0004999,7,11,12,12
OG0005000,0,0,1,0
OG0005002,291,429,238,248
OG0005003,0,0,0,0
OG0005006,141,166,82,116
OG0005010,0,0,0,0
OG0005011,26,3,0,4
OG0005012,25,20,21,56
OG0005015,188,115,88,58
OG0005017,6,5,17,15
OG0005018,32,35,21.653,25
OG0005019,23,23,22,17
OG0005021,21,84,39,16
OG0005023,17,34,41,24.001
OG0005024,400,513,326,248
OG0005025,5,0,1,0
OG0005026,148,157,89,109
OG0005028,317,462,138,205.99
OG0005029,311.361,269,196,173
OG0005031,76,39,77,83
OG0005033,94,130,164,124
OG0005034,766.215,1262.995,667,570
OG0005035,108,39,71,169
OG0005037,176,251,159,176.996
OG0005039,52,17,8,1
OG0005042,24.992,17,8,1
OG0005043,777.002,753,454,634
OG0005044,19.008,33,14,17
OG0005046,18,10,9,5
OG0005048,17,21,11,21
OG0005049,137,189,77,73
OG0005050,37,44,32,23
OG0005051,265,437,200,251
OG0005054,58,95,35,38
OG0005056,503.986,620.001,467.848,399
OG0005057,8,5,0,14
OG0005058,22,57,25,33.218
OG0005059,500,755.718,380.942,401
OG0005060,476.001,368,221,207
OG0005062,74,223,139,132
OG0005063,11,34,16,10.009
OG0005064,358,669,304,381
OG0005069,131,70,68,47
OG0005071,96,121,71,75
OG0005072,6,21,9,6
OG0005073,161,210,183,90
OG0005077,758.999,1359,451,341
OG0005093,0,0,6.993,7.211
OG0005094,4640.724,4667,3055.019,3912.908
OG0005096,0,0,0,0
OG0005098,2,31,0,0
OG0005100,0,0,12.002,22
OG0005101,509,533,264,324
OG0005102,12.909,4.763,34.808,10.047
OG0005103,47,42,26,39
OG0005104,28,14,16,29
OG0005110,717,680,407,344
OG0005111,2,0,0,0
OG0005135,47,92,33,38
OG0005138,424.394,544.997,262,272
OG0005139,121,70,57,76
OG0005140,60,84,261,377
OG0005146,58,70,28,41
OG0005148,14,9,4,73
OG0005150,0,0,1,0
OG0005152,2,0,7,1
OG0005155,0,0,0,0
OG0005157,148,61,74,126
OG0005160,1.266,18.145,10.27,7.117
OG0005163,71,53,48,16
OG0005165,45.994,85,22,24
OG0005168,1616.003,2003.133,1065,1039
OG0005172,3,1,6,3
OG0005180,361.998,617,313,313
OG0005181,28,38,82,54
OG0005184,21,13,2,15
OG0005188,45,27,13,33
OG0005202,8,4,17,16
OG0005210,3.672,0,0,0
OG0005211,57,78,58,79
OG0005216,10,10,28,15
OG0005218,0,8,33,8
OG0005221,23.616,41.828,87.325,43.829
OG0005225,23,36,8,7
OG0005226,4,0,0,0
OG0005231,226,326,125,137
OG0005232,13.855,27.422,51.822,43.042
OG0005237,109,199,87,168
OG0005240,1291.748,976,810.005,891
OG0005243,1042.839,1160.118,494,359.329
OG0005249,282,354,215,264
OG0005250,6.294,12.309,16.764,18.48
OG0005251,1063.996,1521.532,732.698,843.694
OG0005255,108,142,85,91
OG0005256,5883.568,8219.496,4327.541,4111.711
OG0005257,121,143,137,98
OG0005258,6,0,0,0
OG0005260,1059.997,1212.993,507,836
OG0005262,7,4,5,4
OG0005264,1665.426,1623.003,1056,1142
OG0005265,374,556,238,229
OG0005269,6,0,0,0
OG0005273,5,15,37,25
OG0005278,1,0,0,0
OG0005279,160,160,111,65
OG0005282,5.31,4.693,24.889,11.384
OG0005283,110,57,56,84
OG0005288,3731.944,3699.393,2105,2604
OG0005293,1439.985,2493.269,977.033,909
OG0005294,1,0,0,0
OG0005297,927.001,1408,1159.976,826.127
OG0005298,442,484,247.001,226
OG0005299,1432.999,1871.997,782.854,841.002
OG0005301,460,598.036,269,374
OG0005303,141,101,50,82
OG0005305,95,75,49,44
OG0005311,93,142,112,131
OG0005313,19,73,6.035,35.959
OG0005314,0,0,0,0
OG0005316,415,352.261,409.999,390
OG0005329,381.787,643,550,284
OG0005330,328,367,197,252
OG0005334,1045.001,1321.003,873.612,793
OG0005335,1034,1542.898,554,854.018
OG0005339,1988.615,2140.733,1158,1702.999
OG0005345,225,243,117,135
OG0005346,1,0,0,0
OG0005347,31,42,80,57
OG0005348,372,401.448,321,432
OG0005352,65,77,59,52
OG0005354,1734.055,2040.983,1093.375,1065.074
OG0005361,46,78,52,62
OG0005362,3255.688,5194.36,3168.41,5036.2
OG0005365,278,337,174,147
OG0005366,20,27,58,58
OG0005370,11,53,5,6
OG0005372,608.081,908.998,523,553
OG0005373,110,139,68.987,36.736
OG0005378,6.156,11,15,13
OG0005380,6,26,7,5
OG0005381,6307.507,5996.262,4700.372,4289.514
OG0005382,146,263,165,218
OG0005384,352,496,344.974,278
OG0005385,80,61,39,35
OG0005391,629,649.469,456,421
OG0005394,554,685.93,416.01,374
OG0005395,84,108,48.235,69
OG0005396,1210.008,2381.016,1137,1263
OG0005398,186,182,124,107
OG0005399,1008.963,1452,961.928,647
OG0005404,6,0,0,0
OG0005405,2687.947,3562,2165.887,2242
OG0005407,1146.168,1418,565.405,856
OG0005414,520,552.009,286,286
OG0005416,219,210,152,196
OG0005418,100,124,64.363,81
OG0005419,2039,2283,1376.006,1674.149
OG0005420,0,0,0,0
OG0005422,18.496,13.742,39.839,25.588
OG0005425,0,0,0,0
OG0005427,5148.583,4656.022,2756,4085.33
OG0005431,1071.967,1310.174,1010.001,810.814
OG0005432,987,1175,699,861
OG0005433,1682.652,3008,1058.018,1741.002
OG0005437,470.865,592,406,381
OG0005438,77.994,140,71,81
OG0005440,8,15,33,14
OG0005441,205,209,126,164
OG0005442,45,93,49,45
OG0005445,351,498,317.297,226
OG0005446,13.142,4.535,16,10
OG0005452,740,901.087,574.059,645
OG0005461,1195.493,1199.9,990.066,987
OG0005462,821.175,1162.289,708.377,965
OG0005464,203,239,173,206
OG0005467,188,150,95,99
OG0005470,0,0,0,0
OG0005473,530,562,338.802,687
OG0005475,1911,2051.936,1212,1262.467
OG0005482,404,438,238,256
OG0005484,1139.13,1197.344,660,715
OG0005485,157,47,27,3
OG0005486,231,225,164,148.001
OG0005489,110,148.715,76,70.089
OG0005490,419.959,803,466,658.338
OG0005492,6,6,28,34.531
OG0005493,1061.912,1458.568,833,1011.255
OG0005498,155,215,171,118
OG0005503,422,541,474,455
OG0005506,146,196,81,121
OG0005508,463,490,959,871
OG0005509,146,189,111,102
OG0005510,925,1189.998,631.009,704.151
OG0005512,9,8,8,14
OG0005513,904,694,324,515
OG0005514,34,31,25,23
OG0005518,1579.669,2431,1362,1413.845
OG0005521,199,158,68,72
OG0005525,465,625.455,274,393
OG0005527,23.309,27.235,68.694,34.258
OG0005529,5,6,17,7
OG0005531,296,534.109,170,121
OG0005538,1089,1171,916,1195.995
OG0005539,1114,2076,712.984,1038
OG0005540,96,149,65,64
OG0005541,87,108,59,46
OG0005544,30,39,47,35
OG0005545,1,7,16,4
OG0005546,1,0,0,0
OG0005547,221,204,145,173
OG0005551,0,0,0,0
OG0005554,538.996,759.158,370.985,393
OG0005557,72,90,44,56
OG0005558,92,112,45.375,86
OG0005561,201,214,133,239
OG0005563,3,0,0,0
OG0005564,186,407.457,176,280
OG0005567,528,529.002,337,370
OG0005569,181,250,136,129
OG0005574,1784,1818.011,1104,1227.937
OG0005577,1193.016,1546,1272.805,835.119
OG0005578,175,231,116,161
OG0005581,1625.999,2058.621,1006.714,920.185
OG0005582,354,335,185,341
OG0005583,1186.588,1636,1028,730.004
OG0005587,335,1074,439.894,319
OG0005591,8,0,0,0
OG0005592,0,0,0,0
OG0005593,63,59,191.252,129
OG0005599,1,0,0,0
OG0005600,813.002,1226,556,596
OG0005601,450,482,263,344.001
OG0005602,4,7,12,17
OG0005604,1362,1912.589,1124.895,1365.918
OG0005605,9,5,12,4
OG0005608,194,181.546,125,128.083
OG0005609,1296.252,1765.997,891.342,1019.002
OG0005617,1,0,0,0
OG0005620,9,2,1,0
OG0005622,184.06,238,536.001,544.005
OG0005624,1866,2364.502,1356.999,1778
OG0005626,34,27,16,34
OG0005630,8,15,20,12
OG0005631,416.007,372,237,280
OG0005632,11.348,22.407,40.759,25.325
OG0005637,161,154.276,87,117
OG0005638,36.689,45.536,92.196,112.964
OG0005639,10,12,4,12
OG0005643,8,17,24,9
OG0005644,5,0,0,0
OG0005648,0,0,0,0
OG0005649,9,0,1,0
OG0005651,5,0,0,0
OG0005655,17.737,6,3,0
OG0005656,277,460.907,222,204
OG0005657,1904.998,1573.541,811.704,889
OG0005660,62,32,43,17
OG0005662,326.001,453,348,410
OG0005667,0,0,0,0
OG0005673,105,652,86,102
OG0005674,969.668,1765.544,606,938
OG0005677,56,4,38,62
OG0005679,28,33,56,34.015
OG0005681,824.01,967.169,545,637.001
OG0005682,479,517.869,282.997,249
OG0005683,919,1021.432,949.291,1068.006
OG0005685,122,146,121,110
OG0005687,0,0,0,0
OG0005688,618,901,454.106,585.997
OG0005691,222,310,177,178.977
OG0005693,2,0,0,0
OG0005695,685,1040,398,721.739
OG0005698,118,144,79,99
OG0005699,69,124,229,129
OG0005701,4,0,0,0
OG0005702,1,7,8,1
OG0005705,27,27,27,18
OG0005708,200,205,120,145
OG0005709,5.932,1.274,35.299,10.951
OG0005710,5.026,4.503,13.329,0
OG0005713,102,124,255.881,159
OG0005718,2687.124,3356.989,1750.259,2430.205
OG0005719,22,27,35,44
OG0005721,202,177,106,160
OG0005722,71,159,59,81
OG0005723,0,0,0,0
OG0005725,530,737,357,403
OG0005727,60,51,32,38
OG0005728,57,52,29,64
OG0005733,1324,1413,952.027,1078
OG0005734,0,0,0,0
OG0005735,68,16,20,24
OG0005738,59,92,153,139.169
OG0005741,2100.001,2504.968,1490,1761.783
OG0005742,4,0,0,0
OG0005754,3.841,0,0,0
OG0005755,50,59,46,25
OG0005756,271.227,321,164,172
OG0005758,28,38,22,29
OG0005759,688,908,516.001,541
OG0005763,0,0,0,0
OG0005764,480.366,528,349.009,414
OG0005767,560.356,336.364,247.049,532
OG0005768,12,46,31,57
OG0005772,4.841,0,0,0
OG0005776,387,588,235,269
OG0005777,2,0,0,0
OG0005779,892,1260.018,665,706.055
OG0005781,30,25,31,26
OG0005784,44,41,29,16
OG0005796,298,411,278,203
OG0005798,557.031,706.996,370,508
OG0005800,148,336.031,70,129
OG0005803,41,59,160,103
OG0005805,167,204,109,156
OG0005809,13,0,0,0
OG0005811,462,355,295,268
OG0005812,74,115,226,143
OG0005819,617,696.436,596,528.813
OG0005820,1445.191,1621,1107.151,1232.963
OG0005822,22,39,26.001,51
OG0005823,8,18,9,16
OG0005824,127,41,147,47
OG0005826,5,0,2,0
OG0005828,27.007,16,16,10
OG0005830,17,13,11,31
OG0005833,1844.503,2054.869,1151,1128.923
OG0005846,15,8,4,6
OG0005847,1,0,0,0
OG0005849,25,27,16,33
OG0005855,7,7,25,2
OG0005856,5,0,0,0
OG0005859,553,562,300,400.992
OG0005864,1268,1600,842.002,780
OG0005865,66,84,38,62
OG0005866,161,123,125,85.89
OG0005872,271,383,233,161
OG0005873,332.809,420,177,425.093
OG0005874,84,81,62,56
OG0005876,147.002,196,163,221
OG0005877,777.988,869,649,533
OG0005878,76,91,223,146
OG0005879,213,335,213,236
OG0005882,2,0,0,0
OG0005884,26,34,52.021,47
OG0005886,188,231.001,96,98
OG0005887,4,71,76,3
OG0005889,21,23,59,42
OG0005892,29,42,35,36
OG0005894,14,9,34.499,18
OG0005895,1055,1115,917.073,788
OG0005897,586,1105.539,516.481,664
OG0005898,64,49,29,58
OG0005899,473,473,408,440
OG0005900,91,87,49,51
OG0005903,225.462,140.027,160.905,240.967
OG0005908,91,81.003,32,75
OG0005912,49,28,118,87
OG0005913,544,601,277,417.002
OG0005914,42,92.543,87.119,72
OG0005915,267.043,274,157,264
OG0005920,82,101,67,63
OG0005924,4568.999,5134.245,4202,4189
OG0005926,517.009,454,330,441
OG0005929,2759.987,4354.01,2317.981,2498
OG0005931,1868.551,2805.01,1162.001,1664
OG0005932,390,551,251,311
OG0005935,711,1425,404,723
OG0005938,135,219,128,119
OG0005941,43,86,51,37
OG0005945,922,1383.775,701.501,993
OG0005947,47,97,41,86
OG0005948,22,18,43.098,55.006
OG0005950,451.771,436,687,743
OG0005952,44,51,19,38
OG0005953,1112,908,604,885
OG0005954,48.651,57.246,117.831,91.713
OG0005957,19,24,63,42
OG0005962,1070,1646.117,765,1307.995
OG0005967,42,74,52,58
OG0005968,3121,4197.082,2206.762,2559.025
OG0005973,14,10,5,8
OG0005976,326,503.001,325,244
OG0005979,2.03,0,9.697,12.269
OG0005980,148.105,162,104.008,136
OG0005981,1591.806,2347.451,1102.029,1225.003
OG0005982,49.987,96,52,48
OG0005983,6,7,29,13
OG0005985,0,5.008,8.009,6.05
OG0005987,0,0,0,0
OG0005990,135,182,134,139
OG0005991,14.248,15.7,59.113,40.154
OG0005992,10.304,0,1,0
OG0005993,264,266,185,252
OG0005994,1164,1484,795,759
OG0005996,133.994,290.714,108.046,98.987
OG0005997,0,0,1,0
OG0005999,3,0,0,0
OG0006000,855.071,1345.021,556.196,740.618
OG0006001,3,9,4,4
OG0006004,3717.944,6101.635,1594.328,2847.4
OG0006009,117,103,310,171
OG0006011,611,834.003,378,487.429
OG0006013,17,28,73,32
OG0006014,33.03,33,69,56
OG0006015,531,300,424,393
OG0006016,279,473,308,295
OG0006017,72,61,71,45
OG0006018,169,229,121,155
OG0006021,804.951,1014.995,480,581
OG0006022,69,85.002,45,49
OG0006024,101,162,84,83
OG0006025,113,257,114,134
OG0006029,99,128,56,73
OG0006031,129,119,51,89
OG0006032,174,166.994,82.948,106.662
OG0006033,124,267,114,150
OG0006034,62.705,88.216,202.684,136.536
OG0006035,251,367,143,234
OG0006036,369.999,470.652,184,266.002
OG0006037,233.008,356,189,170
OG0006038,41,25,11,10
OG0006042,42,30,15,19
OG0006043,2947.008,2766,1560.014,1886.633
OG0006044,25.002,8,20,32
OG0006045,0,0,0,0
OG0006047,658,753.253,422.382,548
OG0006048,272,443,205.959,255
OG0006050,1614,1577.644,820,1099
OG0006051,250,211,145,169
OG0006052,61,51,33,44
OG0006054,50,93,50,92
OG0006059,10,23,18,23
OG0006060,16,10,6,3
OG0006062,1,0,0,0
OG0006063,111,193,22,51
OG0006066,63,60,21,44
OG0006069,503,888,340,371
OG0006070,121.998,193,125,111
OG0006071,95,101,54,99
OG0006073,467.32,523.49,830.31,545.425
OG0006077,240.59,254,88,128.247
OG0006079,313,296,176,225
OG0006080,158,246,90,142
OG0006081,193,407,197,218
OG0006085,221,294,203.001,152
OG0006086,541,720,435,377.004
OG0006087,224,233,77,162
OG0006093,70.402,133,148,308
OG0006095,0,0,0,0
OG0006096,889.001,988,514,758
OG0006097,567.009,615.085,439,544
OG0006098,306,309,196.925,162
OG0006099,80,83,18,59
OG0006100,0,0,0,0
OG0006102,29.403,97,10,27
OG0006103,162,162,139,151
OG0006105,49,59,160,152
OG0006107,77,112,87,154
OG0006110,45,25,20,16
OG0006113,482,454,222,356
OG0006116,221,264,140,167
OG0006117,138,154,65.019,75
OG0006119,111,136,90,98
OG0006120,64,89,68,76.277
OG0006122,227,234,103,182
OG0006123,644,661.999,375,480
OG0006124,49,41,47,43
OG0006125,46,53,32,27
OG0006127,538,722,357,412
OG0006128,575,638,460,701
OG0006129,156,127,82,82
OG0006130,1017.703,1014.536,634,974
OG0006131,125,126.612,59,77
OG0006133,284,469,249,189.245
OG0006134,0,0,0,0
OG0006135,211,653.969,68,128
OG0006136,17,19,14,30
OG0006137,638,956.022,460,685
OG0006142,488,590,275.775,389
OG0006144,458,553.996,342,426
OG0006145,91,126,66,93
OG0006146,745,1022,520,654
OG0006149,30,45,36,48
OG0006151,221,218,143.92,160
OG0006152,2,27,22,4
OG0006153,746.004,638,347,681.715
OG0006154,34,43,27,24
OG0006158,391,605,312,357
OG0006160,109,125,73,73
OG0006162,250,406,143,213
OG0006163,538,645.096,441,390.999
OG0006164,234.677,178.84,37,245.968
OG0006165,72,73,64,28
OG0006167,234,346,194,240
OG0006168,423,542,197,448
OG0006169,153,144.741,96,84
OG0006171,199,218,139,192
OG0006172,56,15,12,46
OG0006173,554.538,511,120,150
OG0006174,222,193,182,180
OG0006175,222.985,294,145.039,149
OG0006176,396,506,337,339.024
OG0006177,147,174,126,191
