ssid_fast_orthogroups,change
OG0000014,-10*
OG0000004,-11*
OG0000080,-4*
OG0000247,-4*
OG0000181,-4*
OG0000237,-4*
OG0000204,-4*
OG0000232,-4*
OG0000234,-4*
OG0000083,-4*
OG0000020,-4*
OG0000074,-4*
OG0000174,-4*
OG0000121,-4*
OG0000159,-5*
OG0000169,-5*
OG0000081,-5*
OG0000077,-5*
OG0000069,-5*
OG0000048,-5*
OG0000075,-5*
OG0000039,-5*
OG0000060,-6*
OG0000045,-6*
OG0000002,-6*
OG0000062,-7*
OG0000054,-7*
OG0000052,-7*
OG0000012,-8*
